-5971,0.0106,42871.408,p,pg,Ahnert P,,"I,1190,I,1190,,",
-4263,-0.0148,43606.434,p,vis,Lichtenknecker D,"D,0031,D,Lich,,",,
-3297,0.0123,44022.402,s,vis,Troispoux G,,"B,0044,B,0044,,",
-1810,-0.006,44662.326,s,pg,Frank Peter,,"D,0032,D,Lich,,",
-1809,-0.0154,44662.532,p,pg,Frank Peter,,"D,0032,D,Lich,,",
-922,0.0181,45044.293,p,vis,Germann R,,"B,0059,B,0059,,",
-882,-0.0132,45061.476,p,B,Fernandes M,,"D,0034,D,Lich,,",
-852,-0.01,45074.39,p,vis,Quester W,,"D,0034,D,Lich,,",
-845,-0.0065,45077.406,p,vis,Lichtenknecker D,"D,0034,D,Lich,,",,
0,-0.0106,45441.0544,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
7,-0.0107,45444.0668,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
67,-0.0149,45470.0991,s,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
732,-0.0133,45756.2888,s,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
804,-0.0133,45787.0595,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
804,-0.0144,45787.2734,s,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
821,-0.0069,45794.382,p,vis,Brelstaff T,,"R,0007,R,0007,VSSC 61.16,",
875,-0.0093,45817.619,p,vis,Krobusek Bruce,,"B,0072,B,0072,,",
1513,-0.0166,46092.1801,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
1521,-0.0195,46095.62,p,vis,Isles J E,,"R,0009,R,0009,,",
1622,-0.0156,46139.0901,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
1622,-0.0173,46139.3034,s,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
1631,-0.0173,46143.1766,s,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
1638,-0.0181,46146.1883,s,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
1655,-0.018,46153.2895,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
1718,-0.0174,46180.4026,p,vis,Agerer Franz,,"D,0039,D,0039,,",
3372,-0.0172,46892.43,s,vis,Paschke Anton,,"B,0084,B,0084,,",
3398,-0.0195,46903.402,p,vis,Paschke Anton,,"B,0084,B,0084,,",
3423,-0.0184,46914.377,s,vis,Kohl Michael,,"B,0085,B,0085,,",
4171,-0.0246,47236.0636,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
4171,-0.0266,47236.2766,s,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
4232,-0.0181,47262.322,p,vis,Mavrofridis G,,"B,0088,B,0088,,",
4234,-0.0358,47263.38,s,vis,Paschke Anton,,"B,0088,B,0088,,",
4241,-0.0264,47266.1869,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
4241,-0.0283,47266.4,s,vis,Paschke Anton,,"B,0088,B,0088,,",
4243,-0.0261,47267.0479,p,pe,Zhang Ji-Tong,,"I,3302,I,3302,,",
5057,-0.0154,47617.37,p,vis,Paschke Anton,,"B,0092,B,0092,,",
5057,-0.0104,47617.375,p,vis,Mavrofridis G,,"B,0092,B,0092,,",
5110,-0.0314,47640.378,s,vis,Paschke Anton,,"B,0092,B,0092,,",
5131,-0.0269,47649.42,s,vis,Paschke Anton,,"B,0092,B,0092,,",
5143,-0.0232,47654.373,p,vis,Paschke Anton,,"B,0092,B,0092,,",
5772,-0.0348,47925.2716,s,V,Zhang Rong-Xian,,"I,3938,I,3938,,",
5772,-0.0341,47925.2723,s,B,Zhang Rong-Xian,,"I,3938,I,3938,,",
5779,-0.0333,47928.2856,s,V,Zhang Rong-Xian,,"I,3938,I,3938,,",
5779,-0.0322,47928.2867,s,B,Zhang Rong-Xian,,"I,3938,I,3938,,",
5815,-0.0248,47943.572,p,vis,Moschner Wolfg,,"D,0056,D,0056,,",
5975,-0.035,48012.419,p,B,Agerer Franz,,"D,0056,D,0056,,",
5975,-0.035,48012.419,p,V,Agerer Franz,,"D,0056,D,0056,,",
6667,-0.034,48310.2278,p,V,Zhang Rong-Xian,,"I,3938,I,3938,,",
6667,-0.0334,48310.2284,p,B,Zhang Rong-Xian,,"I,3938,I,3938,,",
6669,-0.0344,48311.3031,s,V,Zhang Rong-Xian,,"I,3938,I,3938,,",
6669,-0.0342,48311.3033,s,B,Zhang Rong-Xian,,"I,3938,I,3938,,",
7108,-0.0309,48500.2338,s,V,Hipparcos,,"0,Hipp,0,Hipp,,",
7390,-0.0359,48621.5897,s,pe,Blaettler Ernst,,"B,0099,B,0099,,",
8356,-0.0384,49037.098,p,B,Zhang Rong-Xian,,"I,3938,I,3938,,",
8356,-0.0376,49037.0988,p,V,Zhang Rong-Xian,,"I,3938,I,3938,,",
8356,-0.0407,49037.3107,s,V,Zhang Rong-Xian,,"I,3938,I,3938,,",
8356,-0.0397,49037.3117,s,B,Zhang Rong-Xian,,"I,3938,I,3938,,",
10204,-0.0438,49832.3942,p,ccd,Kleikamp Wilhelm,"D,0091,I,4383,,",,
11008,-0.0478,50178.3981,p,ccd,Kleikamp Wilhelm,"D,0099,I,4472,,",,
11784,-0.0537,50512.35,p,vis,Dalmazio Davide,,"B,0115,B,0115,,",
11791,-0.0562,50515.36,p,vis,Dalmazio Davide,,"B,0115,B,0115,,",
11802,-0.0551,50520.31,s,vis,Dalmazio Davide,,"B,0115,B,0115,,",
11845,-0.0535,50538.602,p,ccd,Cook S,,,"A,0109,,,,"
11863,-0.0494,50546.3526,p,ccd,Kleikamp Wilhelm,"D,0102,I,4562,,",,
11870,-0.0595,50549.355,p,vis,Dalmazio Davide,,"B,0115,B,0115,,",
12701,-0.0501,50906.9919,p,V,Nagai Kazuhiro,,"J,0033,,,,10L+ST-5",
12701,-0.05,50906.992,p,V,Nagai Kazuo,,"J,0047,,,,",
12746,-0.052,50926.3561,p,ccd,Kleikamp Wilhelm,"D,0117,I,4711,,",,
13322,-0.0533,51174.241,p,V,Kiyota Seiichiro,"J,0047,,,,",,
13521,-0.055,51260.0955,s,V,Nagai Kazuhiro,,"J,0037,,,,10L+ST-5",
13521,-0.0545,51260.096,s,V,Nagai Kazuo,,"J,0047,,,,",
14336,-0.0583,51610.619,p,ccd,Cook S,,,"A,0109,,,,"
14337,-0.0552,51611.0524,p,ccd,Nagai Kazuhiro,,"W,0156,J,0038,,ST-5",
14379,-0.0604,51629.1223,p,ccd,Nagai Kazuhiro,,"W,0161,J,0039,,",
15243,-0.0582,52000.9538,p,R,Nagai Kazuhiro,,"W,0325,J,0039,,10L+CV04",
15249,-0.0589,52003.5352,p,BVRI,Drozdz Marek,,"I,5623,,,,",
15259,-0.06,52008.0527,s,R,Nagai Kazuhiro,,"W,0331,J,0039,,10L+CV-04",
15929,-0.0578,52296.1798,p,ccd,Nakajima Kazuhir,"J,0040,W,0511,,25SC+CV-04",,
15988,-0.0582,52321.5705,p,BVRI,Baran Andrzej,,"I,5623,,,,",
16041,-0.0581,52344.3796,p,BVRI,Drozdz Marek,,"I,5623,,,,",
16041,-0.0595,52344.5932,s,BVRI,Drozdz Marek,,"I,5623,,,,",
16043,-0.0594,52345.454,s,BVRI,Drozdz Marek,,"I,5623,,,,",
16048,-0.0569,52347.3933,p,BVR,Baran Andrzej,,"I,5623,,,,",
16048,-0.061,52347.6042,s,BRI,Baran Andrzej,,"I,5623,,,,",
16057,-0.0589,52351.4795,s,BVRI,Baran Andrzej,,"I,5623,,,,",
16063,-0.0595,52354.0611,s,R,Nagai Kazuhiro,,"W,0573,J,0040,,",
16087,-0.0585,52364.3906,s,BVRI,Baran Andrzej,,"I,5623,,,,",
16739,-0.0609,52644.7667,p,ccd,Dvorak S,,"A,0109,,,,",
