33206,0.0146,48562.477,p,vis,Frank Peter,,"D,0060,D,0060,,",
36854,0.0038,50752.6298,p,ccd,Diethelm Roger,,"B,0116,B,0116,,",
37826,0.0136,51336.203,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
37983,0.015,51430.463,p,ccd,Raetz Kerstin,,"D,0132,I,5016,,1",
38566,0.0177,51780.4837,p,ccd,Raetz Manfred,,"D,0152,I,5296,,ST-6",
39892,0.0114,52576.573,p,ccd,Dvorak S W,,"I,5378,,,,",
40585,0.0061,52992.6268,p,V,Dvorak S W,,"I,5502,,,,",
40956,0.005,53215.3644,p,ccd,Moschner W,,"D,0178,I,5731,,",
41021,0.0025,53254.3861,p,ccd,Moschner Wolfg,,"D,0173,I,5657,,",
42405,-0.0048,54085.2962,p,ccd,Jungbluth H,,"D,0183,I,5761,,ST-7",
42417,-0.0058,54092.4997,p,-Ir,Agerer Franz,,"D,0183,I,5761,,ST-6",
42425,-0.0048,54097.3037,p,V,Diethelm Roger,,"B,0166,I,5781,,",
42875,-0.0079,54367.4688,p,-Ir,Agerer Franz,,"D,0193,I,5830,,ST-6",
42910,-0.0063,54388.4835,p,-Ir,Agerer Franz,,"D,0193,I,5830,,ST-6",
42913,-0.0078,54390.2831,p,ccd,Jungbluth Helmut,"D,0193,I,5830,,ST-7",,
42938,-0.0083,54405.2919,p,ccd,Moschner Wolfg,,"D,0203,I,5889,,ST-9E",
43437,-0.0149,54704.8719,p,ccd,Nelson Robert,,"I,5875,,,,ST-7XME",
43516,-0.0156,54752.3007,p,ccd,Schmidt W,,"D,0203,I,5889,,ST-7",
43556,-0.0117,54776.3195,p,-Ir,Agerer Franz,,"D,0203,I,5889,,Sigma 1603",
43674,-0.0084,54847.4669,s,-Ir,Agerer Franz,,"D,0209,I,5918,,Sig 1603",
44186,-0.0111,55154.5556,p,-Ir,Agerer Franz,,"D,0212,I,5941,,Sigma 1603",
44717,-0.0102,55473.355,p,ccd,Moschner W,,"D,0220,I,6010,,ST-9X",
44727,-0.009,55479.36,p,-Ir,Agerer Franz,,"D,0215,I,5984,,Sigma 1603",
44732,-0.0108,55482.3601,p,R,Lehky M,,,"C,0037,E,0137,,250mm+ST7"
44747,-0.0086,55491.3678,p,-Ir,Agerer Franz,,"D,0215,I,5984,,Sigma 1603",
44747,-0.0159,55491.6605,s,-Ir,Agerer Franz,,"D,0215,I,5984,,Sigma 1603",
44785,-0.0053,55514.4853,s,-Ir,Agerer Franz,,"D,0215,I,5984,,Sigma 1603",
45248,-0.0064,55792.4573,s,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45252,-0.0094,55794.5558,p,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45257,-0.0098,55797.5573,p,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45260,-0.0094,55799.3588,p,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45265,-0.0099,55802.3602,p,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45270,-0.0095,55805.3625,p,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45295,-0.0098,55820.3715,p,ccd,Moschner Wolfgan,"D,0225,I,6026,,ST9XE",,
45311,-0.0055,55830.2817,s,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45313,-0.0052,55831.4828,s,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45320,-0.0099,55835.3807,p,ccd,Jungbluth H,,"D,0225,I,6026,,ST7",
45325,-0.0092,55838.3833,p,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45358,-0.0023,55858.5025,s,-Ir,Agerer Franz,,"D,0225,I,6026,,Sigma 1603",
45386,-0.0033,55875.312,s,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45437,-0.0062,55905.6282,p,ccd,Diethelm Roger,,"I,6011,,,,Astrokolchoz",
45851,-0.0018,56154.4873,s,R,Lehky M.,,"C,0038,E,0160,,25cm+ST7",
45893,-0.005,56179.3998,p,ccd,Jungbluth H,,"D,0231,I,6070,,ST-7",
46081,-0.0064,56292.2687,p,ccd,Ogmen Y,,,"A,0042,,,JAAVSO 42,"
46164,-0.0034,56342.4027,s,ccd,Jungbluth H,,"D,0234,I,6118,,ST-7",
46439,-0.0052,56507.5037,s,-I,Agerer Franz,,"D,0234,I,6118,,Sigma 1603",
46439,-0.0009,56507.508,s,R,Lehky M,,,"C,0039,E,0168,,25cm+ST7"
46471,-0.0011,56526.4198,p,-I,Agerer Franz,,"D,0234,I,6118,,Sigma 1603",
46486,-0.0016,56535.4248,p,V,Magris M.,,"C,0038,E,0160,,25cm+MX716",
46491,-0.001,56538.4273,p,ccd,Jungbluth H,,"D,0234,I,6118,,ST-7",
46494,0,56540.5295,s,-I,Agerer Franz,,"D,0234,I,6118,,Sigma 1603",
46589,-0.0009,56597.2641,p,R,Lehky M,,,"C,0039,E,0168,,25cm+ST7"
47079,0.0007,56891.4488,p,R,Lehky M.,,"C,0040,E,0179,,HK25, NWT 25",
47089,-0.0022,56897.4497,p,R,Mazanec J,,"C,0039,E,0168,,40cm+G2-402",
47089,0.0006,56897.4525,p,I,Mazanec J,,"C,0039,E,0168,,40cm+G2-402",
47102,0.0005,56905.5572,s,R,Mazanec J.,,"C,0040,E,0179,,N400, G2402",
47102,0.0068,56905.5635,s,I,Mazanec J.,,"C,0040,E,0179,,N400, G2402",
47104,-0.002,56906.4555,p,R,Lehky M.,,"C,0040,E,0179,,EQ6 + 0.25-m",
47124,-0.0012,56918.4638,p,I,Mazanec J.,,"C,0040,E,0179,,N400, G2402",
47124,0.0006,56918.4656,p,R,Mazanec J.,,"C,0040,E,0179,,N400, G2402",
47124,0.0015,56918.4664,p,ccd,Mazanec J.,,"C,0040,E,0179,,N400, G2402",
47243,0.0041,56990.2136,s,V,Yang Y,,,",,,,PASP 128.044,60cm"
47248,0.0021,56993.2134,s,V,Yang Y,,,",,,,PASP 128.044,60cm"
47263,0.0015,57002.2184,s,V,Yang Y,,,",,,,PASP 128.044,60cm"
47268,0.0006,57004.9193,p,R,Yang Y,,,",,,,PASP 128.044,1.0m"
47268,0.001,57004.9198,p,V,Yang Y,,,",,,,PASP 128.044,1.0m"
47268,0.0028,57004.9216,p,B,Yang Y,,,",,,,PASP 128.044,1.0m"
47275,0.0003,57009.1217,p,V,Yang Y,,,",,,,PASP 128.044,60cm"
47310,0.0008,57030.1353,p,V,Yang Y,,,",,,,PASP 128.044,60cm"
47315,0.0007,57033.137,p,V,Yang Y,,,",,,,PASP 128.044,60cm"
47316,0.0033,57034.04,s,V,Yang Y,,,",,,,PASP 128.044,60cm"
47397,0.0025,57082.3695,p,ccd,Jungbluth H,,"D,0241,I,6157,,ST-7",
47627,-0.0026,57220.4504,p,R,Mazanec J.,,"C,0040,E,0179,,Orion NWT 50",
47627,0,57220.4529,p,I,Mazanec J.,,"C,0040,E,0179,,Orion NWT 50",
47627,0.0018,57220.4548,p,B,Mazanec J.,,"C,0040,E,0179,,Orion NWT 50",
47657,0.0032,57238.4674,p,B,Mazanec J.,,"C,0040,E,0179,,ORION NWT 50",
47657,0.0035,57238.4677,p,R,Mazanec J.,,"C,0040,E,0179,,ORION NWT 50",
47657,0.0036,57238.4678,p,V,Mazanec J.,,"C,0040,E,0179,,ORION NWT 50",
47657,0.0039,57238.4681,p,I,Mazanec J.,,"C,0040,E,0179,,ORION NWT 50",
47702,-0.0011,57265.4799,p,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
47737,-0.0016,57286.4925,p,B,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
47737,-0.0016,57286.4925,p,V,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
47737,-0.0012,57286.4929,p,I,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
47737,-0.001,57286.4931,p,R,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
47748,0.0004,57293.3986,s,B,Mazanec J.,,"C,0040,E,0179,,ORION NWT 50",
47748,0.0015,57293.3997,s,V,Mazanec J.,,"C,0040,E,0179,,ORION NWT 50",
47748,0.0035,57293.4017,s,I,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
47870,-0.0005,57366.3433,p,ccd,Jungbluth H,,"D,0244,I,6196,,ST-7",
48215,-0.0034,57573.4694,p,V,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
48215,-0.0034,57573.4694,p,R,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
48215,-0.0034,57573.4694,p,I,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
48325,-0.002,57639.5119,p,R,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
48325,-0.0012,57639.5127,p,V,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
48325,-0.0004,57639.5135,p,I,Mazanec J.,,"C,0040,E,0179,,ORION, NWT 5",
49574,-0.0117,58389.3691,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
49577,-0.0072,58391.4747,s,ccd,Schmidt Ulrich,,"D,0031,,,,ST-7",
49614,-0.0109,58413.3848,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
49659,-0.0112,58440.4013,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
