45083,0.0066,45211.406,p,pg,Hoffmann M,,"I,2344,,,,",
54640,0.0381,49545.4104,s,ccd,Moschner Wolfg,,"D,0158,I,5484,,",
54861,0.0324,49645.393,p,ccd,Moschner Wolfg,,"D,0158,I,5484,,",
54863,0.0378,49646.3054,p,ccd,Moschner Wolfg,,"D,0158,I,5484,,",
55434,0.0414,49905.4633,s,ccd,Moschner Wolfg,,"D,0091,I,4383,,",
56508,0.0428,50392.257,p,ccd,Blaettler Ernst,,"B,0114,B,0114,,",
57084,0.0449,50653.4538,p,ccd,Moschner Wolfg,,"D,0158,I,5484,,",
58469,0.0439,51281.726,s,ccd,Paschke Anton,,"0,home,,,,Rotse",
58740,0.047,51404.6176,s,ccd,Zejda Miloslav,,"C,0032,I,5263,normal. min.,",
58760,0.0469,51413.4598,p,ccd,Agerer Franz,,"D,0158,I,5484,,",
59573,0.0472,51782.3525,s,ccd,Safar Jan,,"C,0034,E,0074,,RL400",
60356,0.0475,52137.4143,s,ccd,Agerer Franz,,"D,0152,I,5296,,ST-6",
60515,0.0479,52209.2883,p,ccd,Blaettler Ernst,,"B,0127,B,0127,,",
61042,0.0462,52448.4886,s,-Ir,Poschinger K,,"D,0158,I,5484,,",
61887,0.0397,52831.4314,p,-Ir,Raetz Manfred,,"D,0172,I,5643,,",
61891,0.0413,52833.4738,s,ccd,Moschner Wolfg,,"D,0172,I,5643,,",
61982,0.0434,52874.5141,p,ccd,Motl David,,"C,0034,E,0074,,RL300",
62169,0.0396,52959.5348,s,ccd,Dvorak S W,,"I,5502,,,,",
62720,0.0386,53209.392,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62736,0.04,53216.4218,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
62747,0.0389,53221.4088,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
62762,0.0442,53228.443,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62773,0.0378,53233.4247,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62793,0.0408,53242.497,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62811,0.0386,53250.4301,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
62817,0.0389,53253.3782,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62820,0.0408,53254.5135,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
62822,0.0395,53255.4191,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
62824,0.0384,53256.5519,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62826,0.0391,53257.4595,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62848,0.0394,53267.436,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62881,0.0374,53282.3983,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
62886,0.0385,53284.4397,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
63585,0.0369,53601.4088,p,-Ir,Agerer Franz,,"D,0178,I,5731,,",
63688,0.0365,53648.342,s,-Ir,Poschinger K,,"D,0178,I,5731,,",
64304,0.0322,53927.444,p,-Ir,Raetz M,,,"D,0186,I,5802,,ST-6"
64390,0.0331,53966.4427,p,-Ir,Agerer Franz,,"D,0183,I,5761,,ST-6",
64534,0.0337,54031.7419,p,R,Nelson Robert,,"I,5760,,,,",
66853,0.0277,55083.3166,p,I,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
67526,0.0256,55388.4951,p,ccd,Pribik V,,"C,0037,E,0137,,254mm+G2",
67620,0.0238,55431.3459,s,I,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
67620,0.024,55431.3461,s,R,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
67705,0.028,55469.6674,p,V,Diethelm Roger,,"I,5960,,,,",
67731,0.0261,55481.4556,p,-Ir,Agerer Franz,,"D,0228,I,6048,,Sigma 1603",
68428,0.0227,55797.5158,p,U,Smelcer L.,,"C,0038,E,0160,,35cm+ST7",
68450,0.0226,55807.4919,p,-Ir,Agerer Franz,,"D,0225,I,6026,,Sigma 1603",
70070,0.0155,56542.3219,s,R,Smelcer L.,,"C,0038,E,0160,,28cm+ST7",
70070,0.0164,56542.3228,s,V,Smelcer L.,,"C,0038,E,0160,,28cm+ST7",
70152,0.0159,56579.2793,p,V,Smelcer L,,"C,0039,,,,25cm+G2-402",
72529,0.004,57657.3759,s,ccd,Smelcer L,,"C,0040,E,0179,,Celestron SC",
73273,0.0013,57994.5227,p,ccd,Cervinka L.,,"C,0041,E,0194,,102mm+Atik32",
