-1888,0.0237,20870.685,p,pg,Jacchia L,,",,D,Lich,HB 912.22,",
0,-0.03,28552.352,p,vis,Piotrowski S,,",,D,Lich,AAC 4.15,",
185,-0.041,29305.052,p,vis,Kanda Shigeru,,"J,0047,,,,",
1094,-0.1236,33003.425,p,vis,Szafraniec R,,",,D,Lich,AAC 5.6,",
1457,-0.1776,34480.312,p,vis,Szafraniec R,,",,D,Lich,AAC 5.190,",
1807,-0.2134,35904.324,p,vis,Szafraniec R,,",,D,Lich,AA 8.190,",
2083,-0.2358,37027.265,p,vis,Szafraniec R,,",,0,GCVS,AA 13.79,",
2612,-0.3033,39179.544,p,vis,Szafraniec R,,",,D,Lich,AA 21.67,",
3237,-0.3568,41722.433,p,vis,Locher Kurt,,"B,0008,B,0008,,",
3324,-0.3614,42076.406,p,vis,Locher Kurt,,"B,0013,B,0013,,",
3410,-0.3733,42426.303,p,vis,Locher Kurt,,"B,0020,B,0020,,",
3512,-0.3855,42841.299,p,vis,Locher Kurt,,"B,0027,B,0027,,",
3576,-0.3848,43101.697,p,vis,Locher Kurt,,"B,0031,B,0031,,",
3951,-0.3963,44627.451,p,vis,Locher Kurt,,"B,0052,B,0052,,",
4036,-0.4135,44973.274,p,vis,Locher Kurt,,"B,0062,B,0062,,",
4039,-0.3786,44985.515,p,vis,Gruebeler T,,"B,0058,B,0058,,",
4039,-0.3726,44985.521,p,vis,Cadalbert R,,"B,0058,B,0058,,",
4039,-0.3716,44985.522,p,vis,Stucky A,,"B,0058,B,0058,,",
4039,-0.3676,44985.526,p,vis,Haefliger M,,"B,0058,B,0058,,",
4214,-0.3725,45697.545,p,vis,Peter H,,,"B,0070,B,0070,,"
4214,-0.3635,45697.554,p,vis,Locher Kurt,,"B,0070,B,0070,,",
4591,-0.3654,47231.455,p,vis,Peter H,,,"B,0088,B,0088,,"
4663,-0.3274,47524.44,p,vis,Manek J,,,"C,0030,C,0030,,"
4663,-0.3244,47524.443,p,vis,Borovicka Jiri,,"C,0030,C,0030,,",
4677,-0.3293,47581.4,p,vis,Bellas Y,,"B,0091,B,0091,,",
4677,-0.3143,47581.415,p,vis,Locher Kurt,,"B,0091,B,0091,,",
4750,-0.321,47878.424,p,vis,Locher Kurt,,"B,0093,B,0093,,",
4765,-0.3026,47939.473,p,vis,Peter H,,,"B,0094,B,0094,,"
4825,-0.2981,48183.6,p,vis,Locher Kurt,,"B,0096,B,0096,,",
4837,-0.2956,48232.427,p,vis,Dedoch A,,"C,0031,C,0031,,",
4837,-0.2906,48232.432,p,vis,Locher Kurt,,"B,0097,B,0097,,",
4939,-0.2858,48647.445,p,vis,Locher Kurt,,"B,0100,B,0100,,",
5026,-0.2744,49001.434,p,vis,Locher Kurt,,"B,0103,B,0103,,",
5040,-0.2623,49058.408,p,vis,Peter H,,,"B,0103,B,0103,,"
5040,-0.2463,49058.424,p,ccd,Paschke Anton,,"B,0103,B,0103,,",
5128,-0.2506,49416.466,p,vis,Locher Kurt,,"B,0106,B,0106,,",
5375,-0.2035,50421.484,p,vis,Locher Kurt,,"B,0114,B,0114,,",
5617,-0.1218,51406.193,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
5739,-0.1662,51902.531,p,vis,Locher Kurt,,"B,0124,B,0124,,",
5752,-0.1004,51955.49,p,ccd,Diethelm Roger,,"B,0124,B,0124,,",
5827,-0.0635,52260.68,p,vis,Locher Kurt,,"B,0127,B,0127,,",
5915,-0.0818,52618.708,p,V,Paschke Anton,,"0,home,,,,Asas",
6288,-0.0349,54136.383,p,-Ir,Agerer Franz,,"D,0186,I,5802,,ST-6",
6288,-0.0329,54136.385,p,-Ir,Frank Peter,,"D,0186,I,5802,,LcCCD12",
6361,-0.0266,54433.407,p,V,Frank Peter,,"D,0193,I,5830,,ST-9",
6565,0.002,55263.452,p,-Ir,Frank Peter,,"D,0214,I,5959,,Sigma 1603",
7276,0.1029,58156.4043,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
