-39045,-0.1178,37225.6274,p,E,Chou K C,,",,D,Lich,SAC 37,",
-24696,-0.0471,41249.276,s,vis,Locher Kurt,,"B,..33,,,Ori 128,",
-15636,-0.0199,43790.0303,p,pe,Samec Ronald,,"0,home,,,,",
-15635,-0.0202,43790.1704,s,pe,Samec Ronald,,"0,home,,,,",
-15635,-0.0198,43790.1708,s,pe,Leung K C,,"I,3392,,,,",
-15632,-0.0192,43791.0126,s,pe,Samec Ronald,,"0,home,,,,",
-15632,-0.0194,43791.1524,p,pe,Samec Ronald,,"0,home,,,,",
-15457,-0.0203,43840.0847,s,pe,Samec Ronald,,"0,home,,,,",
-15440,-0.0213,43844.9908,p,pe,Samec Ronald,,"0,home,,,,",
-14191,-0.0169,44195.2373,p,pe,Hoffmann,,"I,2999,,,,",
-14190,-0.0175,44195.3771,s,pe,Hoffmann,,"I,2999,0,GCVS,,",
-11954,-0.0062,44822.403,s,vis,Carbol K,,"C,0026,,,,",
-11879,-0.0176,44843.423,s,vis,Brelstaff T,,"R,0005,,,,",
-11879,-0.0066,44843.574,p,vis,Brelstaff T,,"R,0005,,,,",
-11876,-0.0128,44844.409,p,vis,Brelstaff T,,"R,0005,,,,",
-11787,-0.004,44869.375,p,vis,Brelstaff T,,"R,0005,,,,",
-10695,0.0045,45175.46,s,vis,Brelstaff T,,"R,0006,,,,",
-10638,-0.0093,45191.43,s,vis,Brelstaff T,,"R,0006,,,,",
-10624,-0.0052,45195.5,p,vis,Brelstaff T,,"R,0006,,,,",
-10617,-0.0121,45197.456,p,vis,Brelstaff T,,"R,0006,,,,",
-9319,-0.0047,45561.446,p,vis,Brelstaff T,,"R,0006,,,,",
-9301,-0.0112,45566.487,p,vis,Brelstaff T,,"R,0006,,,,",
-9276,0.0054,45573.374,s,vis,Brelstaff T,,"R,0006,,,,",
-9265,-0.0022,45576.451,s,vis,Brelstaff T,,"R,0006,,,,",
-9262,0.0085,45577.443,p,vis,Brelstaff T,,"R,0006,,,,",
-9162,-0.0013,45605.335,s,vis,Frank Peter,,"D,0038,,,,",
-9162,-0.0003,45605.476,p,vis,Frank Peter,,"D,0038,,,,",
-9105,-0.0031,45621.317,s,vis,Frank Peter,,"D,0038,,,,",
-9105,-0.0021,45621.458,p,vis,Frank Peter,,"D,0038,,,,",
-9038,-0.0036,45640.2445,p,vis,Agerer Franz,,"D,0038,I,2999,,",
-9016,-0.0027,45646.2746,s,vis,Agerer Franz,,"D,0038,I,2999,,",
-8998,-0.0029,45651.3219,s,vis,Agerer Franz,,"D,0038,I,2999,,",
-8819,-0.0107,45701.649,p,vis,Samolyk Gerry,,"0,home,,,,",
-8021,0.0108,45925.444,p,vis,Brelstaff T,,"R,0007,,,VSSC 61.16,",
-7996,-0.0027,45932.441,p,vis,Brelstaff T,,"R,0007,,,VSSC 61.16,",
-7992,0.0027,45933.428,s,vis,Brelstaff T,,"R,0007,,,VSSC 61.16,",
-7960,0.0083,45942.407,s,vis,Brelstaff T,,"R,0007,,,VSSC 61.16,",
-6787,0.0174,46271.4864,p,vis,Svoboda P Pr,,"C,0027,,,,",
-6723,0.0268,46289.4426,p,vis,Svoboda P Pr,,"C,0027,,,,",
-6712,0.0144,46292.5148,p,vis,Safar Jan,,"C,0027,,,,",
-6712,0.0227,46292.5231,p,vis,Svoboda P Pr,,"C,0027,,,,",
-6712,0.0248,46292.5252,p,vis,Hajek P,,,"C,0027,,,,"
-6712,0.0269,46292.5273,p,vis,Lutcha P,,"C,0027,,,,",
-6712,0.0269,46292.5273,p,vis,Cervinka T,,"C,0027,,,,",
-6712,0.0269,46292.5273,p,vis,Varady M,,"C,0027,,,,",
-6712,0.0276,46292.528,p,vis,Hanzl Dalibor,,"C,0027,,,,",
-6712,0.0276,46292.528,p,vis,Berka M,,,"C,0027,,,,"
-6694,0.0061,46297.414,s,vis,Brelstaff T,,"R,0012,,,,",
-6620,0.0132,46318.312,p,V,Braune W,,"D,0043,D,0046,,",
-6616,0.0025,46319.423,p,pg,Vielmetter H,,"D,0043,D,0046,,",
-6588,0.0138,46327.286,p,V,Braune W,,"D,0043,D,0046,,",
-6502,0.0118,46351.4,p,vis,Brelstaff T,,"R,0012,,,,",
-6399,0.0068,46380.278,p,vis,Brelstaff T,,"R,0012,,,,",
-5571,0.0312,46612.4885,p,vis,Berka M,,,"C,0028,,,,"
-5571,0.0326,46612.4899,p,vis,Brazda R,,"C,0028,,,,",
-5546,0.0108,46619.4786,p,vis,Kucera Petr ZD,,"C,0028,,,,",
-5546,0.0115,46619.4793,p,vis,Dvoracek M,,"C,0028,,,,",
-5546,0.0129,46619.4807,p,vis,Lenz M,,,"C,0028,,,,"
-5467,0.0062,46641.487,s,vis,Brelstaff T,,"R,0012,,,,",
-5403,0.0075,46659.435,s,vis,Brelstaff T,,"R,0012,,,,",
-5375,0.0038,46667.423,p,vis,Brelstaff T,,"R,0012,,,,",
-5336,0.015,46678.3706,p,vis,Hanzl Dalibor,,"C,0028,,,,",
-5336,0.0212,46678.3768,p,vis,Svoboda P Pr,,"C,0028,,,,",
-5336,0.0275,46678.3831,p,vis,Hajek P,,,"C,0028,,,,"
-5335,0.0287,46678.5247,s,vis,Hanzl Dalibor,,"C,0028,,,,",
-5335,0.0301,46678.5261,s,vis,Hajek P,,,"C,0028,,,,"
-5335,0.0308,46678.5268,s,vis,Svoboda P Pr,,"C,0028,,,,",
-5300,0.0074,46688.458,p,vis,Brelstaff T,,"R,0012,,,,",
-5252,0.008,46701.7787,s,pe,Samec Ronald,,"I,2999,I,3392,,",
-5245,0.0073,46703.7409,s,pe,Samec Ronald,,"I,2999,I,3392,,",
-5245,0.0061,46703.8797,p,pe,Samec Ronald,,"I,2999,I,3392,,",
-5242,0.0079,46704.7227,p,pe,Samec Ronald,,"I,2999,I,3392,,",
-5158,0.014,46728.284,p,vis,Hanzl Dalibor,,"C,0028,,,,",
-5104,0.0105,46743.283,s,vis,Paschke Anton,,"B,0079,,,,",
-4048,0.0141,47039.548,p,vis,Vielmetter H,,"D,0050,,,,",
-3991,0.0122,47055.39,s,vis,Paschke Anton,,"B,0086,,,,",
-3988,0.001,47056.36,p,vis,Paschke Anton,,"B,0086,,,,",
-3984,0.0073,47057.348,s,vis,Paschke Anton,,"B,0086,,,,",
-2998,0.0072,47333.84,s,pe,Samec Ronald,,"I,3392,,,,",
-2896,0.0165,47362.452,s,vis,Peter H,,,"B,0089,,,,"
-2854,0.007,47374.36,p,vis,Peter H,,,"B,0089,,,,"
-2839,0.0127,47378.432,s,vis,Peter H,,,"B,0089,,,,"
-2807,0.0085,47387.5412,p,vis,Dedoch A,,"C,0030,,,,",
-2800,0.0184,47389.514,p,vis,Peter H,,,"B,0089,,,,"
-2743,0.0116,47405.491,p,vis,Moschner Wolfg,,"D,0052,,,,",
-2582,0.0072,47450.6339,p,pe,Samec Ronald,,"I,3392,,,,",
-2578,0.0072,47451.7556,p,pe,Samec Ronald,,"I,3392,,,,",
-2319,0.0053,47524.242,s,vis,Peter H,,,"B,0090,,,,"
-1595,0.0087,47727.408,p,vis,Moschner Wolfg,,"D,0056,,,,",
-1594,0.0083,47727.548,s,vis,Moschner Wolfg,,"D,0056,,,,",
-1570,0.0383,47734.448,p,vis,Lutcha P,,"C,0030,,,,",
-1570,0.0383,47734.448,p,vis,Hajek P,,,"C,0030,,,,"
-1488,0.004,47757.408,p,vis,Brelstaff T,,"R,0015,,,VSSC 73,",
-1470,0.0045,47762.456,p,vis,Brelstaff T,,"R,0015,,,VSSC 73,",
-1370,0.0047,47790.358,s,vis,Frank Peter,,"D,0056,,,,",
-1288,0.0064,47813.354,s,vis,Brelstaff T,,"R,0015,,,VSSC 73,",
-1256,0.006,47822.327,s,vis,Moschner Wolfg,,"D,0056,,,,",
-1256,0.0065,47822.3275,s,B,Agerer Franz,,"D,0056,,,,",
-1256,0.0068,47822.3278,s,V,Agerer Franz,,"D,0056,,,,",
-1167,0.0061,47847.2843,s,B,Agerer Franz,,"D,0056,,,,",
-1167,0.0062,47847.2844,s,V,Agerer Franz,,"D,0056,,,,",
-1167,0.0068,47847.285,s,vis,Brelstaff T,,"R,0015,,,VSSC 73,",
-1142,0.0104,47854.299,s,vis,Blaettler Ernst,,"B,0093,,,,",
-1124,0.0238,47859.36,s,vis,Peter H,,,"B,0093,,,,"
-318,0.015,48085.5081,p,vis,Hroch F,,,"C,0031,,,,"
-193,0.0089,48120.4142,s,vis,Lubena L,,"C,0031,,,,",
-193,0.0159,48120.4212,s,vis,Sliz J,,,"C,0031,,,,"
-193,0.018,48120.4233,s,vis,Tichy Mar,,"C,0031,,,,",
-193,0.0249,48120.4302,s,vis,Hajek P,,,"C,0031,,,,"
-193,0.0263,48120.4316,s,vis,Lutcha P,,"C,0031,,,,",
-193,0.027,48120.4323,s,vis,"Dvorak J., Z.",,"C,0031,,,,",
-172,0.0249,48126.459,p,vis,Peter H,,,"B,0096,,,,"
-97,0.0045,48147.33,s,vis,Peter H,,,"B,0096,,,,"
0,0.0043,48174.5303,s,ccd,DeYoung James,,"I,3578,,,,",
45,0.0002,48187.285,p,vis,Peter H,,,"B,0096,,,,"
53,-0.0042,48189.384,s,vis,Peter H,,,"B,0096,,,,"
60,0.0078,48191.4989,p,ccd,DeYoung James,,"I,3578,,,,",
139,0.0053,48213.5094,s,ccd,DeYoung James,,"I,3578,,,,",
182,0.0051,48225.5672,s,ccd,DeYoung James,,"I,3578,,,,",
182,0.006,48225.5681,s,ccd,DeYoung James,,"I,3578,,,,",
