-12953,0.0046,22244.9,p,pg,Gaposchkin S,,",,,,HA 113.74,",
-10906,-0.0287,25794.424,p,vis,Blazko S N,,",,D,Lich,PZ 3.77,",
-10733,-0.0357,26094.404,p,vis,Blazko S N,,",,D,Lich,PZ 3.77,",
-10718,-0.0342,26120.416,p,vis,Blazko S N,,",,D,Lich,PZ 3.77,",
-10665,-0.0347,26212.319,p,vis,Blazko S N,,",,D,Lich,PZ 3.77,",
-10661,-0.0358,26219.254,p,vis,Blazko S N,,",,D,Lich,PZ 3.77,",
-10117,-0.0376,27162.564,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-10102,-0.036,27188.576,p,vis,Piotrowski S,,",,D,Lich,AAC 2.62,",
-10101,-0.0321,27190.314,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-10083,-0.0326,27221.526,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-10068,-0.035,27247.534,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-10022,-0.0324,27327.302,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-9902,-0.0308,27535.387,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-9880,-0.0305,27573.536,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-9861,-0.029,27606.484,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-9673,-0.0325,27932.478,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-9662,-0.0328,27951.552,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-9658,-0.0339,27958.487,p,vis,Piotrowski S,,",,D,Lich,AAC 2.124,",
-9462,-0.0346,28298.356,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-9237,-0.0381,28688.509,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-9233,-0.0392,28695.444,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-9041,-0.0338,29028.383,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-9034,-0.038,29040.517,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-9011,-0.0337,29080.404,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-8996,-0.0361,29106.412,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-8981,-0.0346,29132.424,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-8820,-0.0302,29411.607,p,vis,Piotrowski S,,",,D,Lich,STBB 1962.69,",
-8804,-0.0307,29439.351,p,vis,Piotrowski S,,",,D,Lich,STBB 1962.69,",
-8797,-0.0309,29451.489,p,vis,Piotrowski S,,",,D,Lich,STBB 1962.69,",
-8793,-0.032,29458.424,p,vis,Piotrowski S,,",,D,Lich,STBB 1962.69,",
-8789,-0.0331,29465.359,p,vis,Piotrowski S,,",,D,Lich,STBB 1962.69,",
-8782,-0.0323,29477.498,p,vis,Piotrowski S,,",,D,Lich,STBB 1962.69,",
-8763,-0.0319,29510.445,p,vis,Piotrowski S,,",,D,Lich,STBB 1962.69,",
-8748,-0.0373,29536.45,p,vis,Piotrowski S,,",,D,Lich,STBB 1962.69,",
-7751,-0.0282,31265.286,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.84,",
-7747,-0.0383,31272.212,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.84,",
-7583,-0.0241,31556.607,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-7567,-0.0246,31584.351,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-7560,-0.0248,31596.489,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-7556,-0.0259,31603.424,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-7552,-0.027,31610.359,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-7545,-0.0262,31622.498,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-7526,-0.0257,31655.445,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-7511,-0.0312,31681.45,p,vis,Piotrowski S,,",,D,Lich,AAC 4.121,",
-6733,-0.0067,33030.549,p,vis,Szczepanowska A,,",,D,Lich,AAC 5.76,",
-6718,-0.0102,33056.556,p,vis,Szczepanowska A,,",,D,Lich,AAC 5.76,",
-6503,-0.0054,33429.377,p,vis,Szczepanowska A,,",,D,Lich,AAC 5.76,",
-6492,-0.0007,33448.456,p,vis,Szczepanowska A,,",,D,Lich,AAC 5.76,",
