0,0.006,42537.433,s,pe,Bond H E,,",,D,Lich,PASP 87.877,",
1013,-0.002,42897.3759,p,pe,Aslan Zeki,,"I,2043,I,3727,,",
1016,-0.0016,42898.4418,p,pe,Aslan Zeki,,"I,1462,I,3727,,",
1937,-0.0031,43225.5334,p,pe,Aslan Zeki,,"I,1462,I,3727,,",
1948,-0.0023,43229.4409,p,pe,Aslan Zeki,,"I,3727,I,3727,,",
1951,-0.0017,43230.5069,p,pe,Aslan Zeki,,"I,3727,I,3727,,",
2263,-0.0032,43341.3122,p,pe,Aslan Zeki,,"I,3727,I,3727,,",
2917,0.0011,43573.5846,p,pe,Aslan Zeki,,"I,3727,I,3727,,",
3181,-0.0032,43667.34,p,pe,Aslan Zeki,,"I,1462,I,3727,,",
3190,0.0055,43670.361,s,pe,Aslan Zeki,,"I,1462,I,3727,,",
6239,0.001,44753.3929,p,pe,Aslan Zeki,,"I,3727,I,3727,AAPS 66.296,",
6248,0.0119,44756.4161,s,pe,Aslan Zeki,,"I,3727,I,3727,AAPS 66.296,",
6343,0.002,44790.3294,p,pe,Aslan Zeki,,"I,3727,I,3727,AAPS 66.296,",
7087,0.0035,45054.5625,p,pe,Aslan Zeki,,"I,3727,I,3727,AAPS 66.296,",
7096,0.0115,45057.5829,s,pe,Aslan Zeki,,"I,3727,I,3727,AAPS 66.296,",
7306,0.0039,45132.3408,p,pe,Aslan Zeki,,"I,3727,I,3727,AAPS 66.296,",
7329,0.0125,45140.3339,s,pe,Aslan Zeki,,"I,3727,I,3727,AAPS 66.296,",
10266,0.0131,46183.41,s,pe,Demircan O,,"I,3727,I,3727,ASS 135.172,",
10266,0.0141,46183.411,s,pe,Pajdosz G,,"I,3727,I,3727,,",
13383,0.0151,47290.4146,s,B,Pajdosz G,,"I,3251,I,3251,,",
13383,0.0158,47290.4153,s,V,Pajdosz G,,"I,3251,I,3727,,",
13386,0.0147,47291.4796,s,V,Pajdosz G,,"I,3251,I,3727,,",
13388,0.0107,47292.3699,p,V,Pajdosz G,,"I,3251,I,3727,,",
13405,0.0105,47298.4072,p,V,Pajdosz G,,"I,3251,I,3251,,",
14422,0.0174,47659.4177,s,V,Krzesinski J,,"I,4263,I,4263,,",
14422,0.0174,47659.4177,s,B,Krzesinski J,,"I,4263,I,4263,,",
15331,0.0139,47982.4295,p,B,Pajdosz G,,"I,4263,I,4263,,",
