-5084,0.1277,25444.53,p,pg,Hughes E M,,",,D,Lich,HA 90.4,"
-4232,0.0437,28750.396,p,vis,Kukarkin B V,,",,D,Lich,PZ 7.196,"
-2906,-0.065,33895.463,p,vis,Szafraniec R,,",,D,Lich,AAC 5.11,"
-2815,-0.0733,34248.555,p,vis,Szafraniec R,,",,D,Lich,AAC 5.53,"
-2723,-0.0668,34605.542,p,vis,Szafraniec R,,",,D,Lich,AAC 5.191,"
-2613,-0.0783,35032.355,p,vis,Szafraniec R,,",,D,Lich,AAC 5.194,"
-2529,-0.078,35358.294,p,vis,Szafraniec R,,",,D,Lich,AA 6.143,"
-2430,-0.0881,35742.426,p,vis,Szafraniec R,,",,D,Lich,AA 7.190,"
-2247,-0.0929,36452.502,p,vis,Szafraniec R,,",,D,Lich,AA 9.49,"
-1779,-0.1013,38268.438,p,vis,Kordylewski K,,",,D,Lich,AA 26.28,"
-1779,-0.0793,38268.46,p,vis,Kordylewski K,,"I,0035,K,0026,,"
-285,-0.0544,44065.538,p,vis,Locher Kurt,,"B,0044,B,0044,,"
-267,-0.0545,44135.382,p,vis,Locher Kurt,,"B,0045,B,0045,,"
-250,-0.0842,44201.316,p,vis,Locher Kurt,,"B,0045,B,0045,,"
-9,-0.054,45136.48,p,vis,Locher Kurt,,"B,0061,B,0061,,"
0,-0.06,45171.396,p,vis,Locher Kurt,,"B,0058,0,GCVS,,"
1043,-0.0066,49218.522,p,ccd,Paschke Anton,,"B,0105,B,0105,,"
1427,0.0147,50708.5489,p,ccd,Safar Jan,,"I,4887,I,4887,,"
1574,0.01,51278.937,p,ccd,Paschke Anton,,"0,home,,,,Rotse"
1703,0.0115,51779.4873,p,ccd,Safar Jan,,"C,0034,E,0074,,RL400"
1719,0.0157,51841.575,p,vis,Guilbaut Peter,,"B,0124,B,0124,,"
1795,0.0104,52136.4667,p,ccd,Safar Jan,,"C,0034,E,0074,,RL400"
2370,-0.0013,54367.5832,p,-Ir,Agerer Franz,,"D,0193,I,5830,,ST-6"
2573,-0.0073,55155.2625,p,ccd,Schmidt U,,"D,0212,I,5941,,ST-7"
2573,-0.0073,55155.2625,p,ccd,Schmidt U,,"D,0212,I,5941,,ST-7"
2753,-0.005,55853.7049,p,ccd,Diethelm Roger,,"I,6011,,,,Astrokolchoz"
3140,-0.0074,57355.3488,p,-U-I,Moschner W,,"D,0244,I,6196,,STL-11000"
