0,0,48500.263,p,V,Hipparcos,,"0,Hipp,0,Hipp,,",
9046,-0.0065,51274.823,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
11168,-0.0084,51925.6756,p,V,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
11168,-0.008,51925.6761,p,B,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
11174,-0.0072,51927.6701,s,V,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
11174,-0.0063,51927.671,s,B,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
11255,-0.0081,51952.5134,s,V,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
11255,-0.0075,51952.514,s,B,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
11256,-0.0087,51952.6665,p,B,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
11256,-0.0073,51952.6679,p,V,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
11418,-0.0078,52002.5086,s,V,Zejda Milos,,"I,5583,,,,RL400",
11487,-0.005,52023.5219,p,V,Zejda Milos,,"I,5583,,,,RL400",
11539,-0.0087,52039.4675,p,ccd,Diethelm Roger,,"B,0125,B,0125,,",
11539,-0.0061,52039.4701,p,V,Zejda Milos,,"I,5583,,,,RL400",
11614,-0.0066,52062.4734,p,V,Zejda Milos,,"I,5583,,,,RL400",
12462,-0.0066,52322.5699,p,ccd,Diethelm Roger,,"B,0127,B,0127,,",
12497,-0.007,52333.4576,s,BVRI,Zola Stanislaw,,"I,5623,,,,",
12514,-0.0068,52338.519,p,BVRI,Zola Stanislaw,,"I,5623,,,,",
12543,-0.0064,52347.4142,p,BVRI,Zola Stanislaw,,"I,5623,,,,",
12543,-0.0058,52347.5678,s,BVRI,Zola Stanislaw,,"I,5623,,,,",
12924,-0.0052,52464.4278,s,BV,Pribulla Theodor,"I,5341,,,,Stara Lesna",,
13743,-0.0083,52715.4733,p,ccd,Diethelm Roger,,"B,0129,I,5438,,",
13749,-0.0064,52717.4685,s,ccd,Blaettler Ernst,,"B,0129,I,5438,,",
13750,-0.0068,52717.6218,p,ccd,Blaettler Ernst,,"B,0129,I,5438,,",
13762,-0.0067,52721.4555,s,BVRI,Pribulla Theodor,"I,5668,,,,G1",,
13763,-0.0079,52721.6081,p,BVRI,Pribulla Theodor,"I,5668,,,,G1",,
13792,-0.0092,52730.5016,p,R,Zejda Milos,,"I,5583,,,,RF80",
13922,-0.0078,52770.3762,p,ccd,Bakis Volkan,,"I,5464,,,,",
14222,-0.0074,52862.3919,p,ccd,Bakis Volkan,,"I,5464,,,,",
14616,-0.006,52983.393,s,I,Zejda Milos,,"I,5583,,,,RF80",
14617,-0.0068,52983.5459,p,I,Zejda Milos,,"I,5583,,,,RF80",
