22070,0.0603,36226.318,p,pg,Splittgerber E,,",,D,Lich,MVS 6.126,",
23728,0.0873,36889.524,p,pg,Berthold Thomas,,"H,0020,,,MHAR 20.8,",
30383,0.0509,39551.403,p,pg,Berthold Thomas,,"H,0020,,,MHAR 20.8,",
34833,0.0384,41331.334,p,pg,Berthold Thomas,,"H,0020,,,MHAR 20.8,",
35918,0.0422,41765.324,p,pg,Berthold Thomas,,"H,0020,,,MHAR 20.8,",
38396,0.0386,42756.489,p,pg,Berthold Thomas,,"H,0020,,,MHAR 20.8,",
39423,0.0497,43167.487,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
39433,0.0548,43171.292,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
39433,0.0538,43171.491,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
39438,0.0279,43173.465,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
39441,0.0379,43174.475,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
39443,0.0439,43175.281,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
39513,0.0538,43203.29,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
39999,0.05,43397.68,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40208,0.0566,43481.484,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40211,0.0407,43482.468,p,pg,Berthold Thomas,,"H,0020,,,MHAR 20.8,",
40243,0.0721,43495.499,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40246,0.0601,43496.487,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40286,0.0516,43512.478,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40343,0.0464,43535.272,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40343,0.0464,43535.472,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40348,0.0564,43537.482,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40425,0.0604,43568.285,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40438,0.0616,43573.286,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40440,0.0556,43574.28,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
40443,0.0526,43575.277,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
41088,0.0408,43833.457,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
41206,0.0343,43880.449,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
41223,0.0435,43887.258,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
41223,0.0355,43887.45,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
41566,0.0482,44024.4583,p,pg,GCVS,,,"0,GCVS,0,GCVS,,"
42096,0.0376,44236.441,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
42108,0.0338,44241.437,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
42173,0.0456,44267.448,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
42206,0.046,44280.448,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
42226,0.0313,44288.433,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
42811,0.0477,44522.642,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
42958,0.0536,44581.446,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43003,0.0561,44599.448,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43046,0.0417,44616.433,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43056,0.0318,44620.423,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43081,0.0561,44630.447,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43088,0.0582,44633.449,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43093,0.0523,44635.443,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43096,0.0453,44636.436,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43098,0.0413,44637.432,s,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43131,0.0558,44650.446,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43901,0.0575,44958.438,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43961,0.0473,44982.427,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
43971,0.0424,44986.422,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
44061,0.0366,45022.415,p,pg,Berthold Thomas,,"H,0000,H,0000,MHAR 20.8,",
44061,0.0486,45022.427,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
44111,0.0462,45042.424,p,vis,Figer Alain,,"G,EB08,G,EB08,,RL250",
45689,0.0403,45673.598,p,pe,Le Borgne JeanFr,"I,2566,H,0000,,",,
45691,0.0403,45674.598,s,pe,Le Borgne JeanFr,"I,2566,H,0000,,",,
45696,0.0403,45676.398,p,pe,Le Borgne JeanFr,"I,2566,H,0000,,",,
45708,0.0545,45681.412,s,vis,Brelstaff T,,"R,0006,R,0006,,",
46641,0.0307,46054.3764,p,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
46643,0.0382,46055.3838,s,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
46791,0.0342,46114.378,p,vis,Brelstaff T,,"R,0009,R,0009,,",
46846,0.0289,46136.372,p,vis,Brelstaff T,,"R,0009,R,0009,,",
47384,0.0368,46351.573,p,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
47386,0.0388,46352.575,s,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
47389,0.0408,46353.577,p,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
48286,0.0251,46712.5499,s,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
48289,0.0339,46713.5586,p,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
48291,0.0338,46714.5585,s,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
48294,0.034,46715.5587,p,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
48344,0.0324,46735.5564,p,pe,El-Bassuny Alawi,",,D,Lich,ASS 207.171,",,
48493,0.0409,46795.363,s,vis,Maraziti A,,"B,0085,B,0085,,",
48503,0.045,46799.367,s,vis,Maraziti A,,"B,0085,B,0085,,",
48516,0.0332,46804.355,p,vis,Paschke Anton,,"B,0084,B,0084,,",
48558,0.0487,46821.37,s,vis,Paschke Anton,,"B,0084,B,0084,,",
49296,0.0391,47116.551,s,vis,Peter H,,,"B,0086,B,0086,,"
49398,0.0354,47157.346,s,vis,Paschke Anton,,"B,0086,B,0086,,",
49431,0.0598,47170.37,p,vis,Peter H,,,"B,0087,B,0087,,"
49521,0.0379,47206.347,p,vis,Peter H,,,"B,0087,B,0087,,"
49536,0.0431,47212.352,p,vis,Peter H,,,"B,0087,B,0087,,"
49581,0.0307,47230.339,p,vis,Paschke Anton,,"B,0088,B,0088,,",
49588,0.0178,47233.326,s,vis,Peter H,,,"B,0088,B,0088,,"
50326,0.0231,47528.522,s,vis,Peter H,,,"B,0091,B,0091,,"
50356,0.0185,47540.317,p,vis,Peter H,,,"B,0091,B,0091,,"
50391,0.034,47554.332,p,vis,Peter H,,,"B,0091,B,0091,,"
50406,0.0282,47560.326,p,vis,Martignoni Max,,"B,0129,I,5438,,",
50473,0.019,47587.316,s,vis,Peter H,,,"B,0091,B,0091,,"
51276,0.0492,47908.336,p,vis,Martignoni Max,,"B,0113,B,0113,,",
51286,0.0183,47912.305,p,vis,Peter H,,,"B,0094,B,0094,,"
51316,0.0367,47924.323,p,vis,Peter H,,,"B,0094,B,0094,,"
51383,0.0286,47951.314,s,vis,Martignoni Max,,"B,0113,B,0113,,",
51401,0.0278,47958.313,p,vis,Peter H,,,"B,0094,B,0094,,"
51428,0.0381,47969.323,s,vis,Peter H,,,"B,0094,B,0094,,"
52181,0.0327,48270.308,p,vis,Walas O,,,"B,0098,B,0098,,"
52181,0.0287,48270.504,s,vis,Walas O,,,"B,0098,B,0098,,"
52231,0.0153,48290.29,p,vis,Peter H,,,"B,0097,B,0097,,"
52328,0.0306,48329.304,s,vis,Peter H,,,"B,0097,B,0097,,"
53133,0.0318,48651.295,s,vis,Peter H,,,"B,0100,B,0100,,"
53228,0.028,48689.29,s,vis,Peter H,,,"B,0101,B,0101,,"
54018,0.027,49005.279,s,vis,Peter H,,,"B,0103,B,0103,,"
54994,0.0264,49395.466,p,vis,Martignoni Max,,"B,0107,B,0107,,",
57704,-0.0102,50479.395,p,ccd,Martignoni Max,,"B,0118,B,0118,,",
59451,-0.0184,51178.3646,s,ccd,Kleikamp Wilhelm,"D,0118,I,4712,,",,
59493,-0.0159,51194.9665,p,V,Nagai Kazuhiro,,"J,0037,,,,10L+ST-5",
59493,-0.0154,51194.967,p,V,Nagai Kazuo,,"J,0047,,,,",
59495,-0.0184,51195.964,s,V,Nagai Kazuo,,"J,0047,,,,",
