2891,0.0721,41054.9335,p,pg,GCVS,,,"0,GCVS,0,GCVS,,"
3805,0.1048,44490.429,p,vis,Lichtenknecker D,"D,0032,D,Lich,,",,
4887,0.1141,48557.3646,p,B,Agerer Franz,,"D,0060,D,0060,,",
4887,0.117,48557.3675,p,V,Agerer Franz,,"D,0060,D,0060,,",
5181,0.1179,49662.4298,p,V,Agerer Franz,,"D,0080,I,4222,,",
5626,0.0983,51335.037,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
6552,0.0414,54815.5474,p,-Ir,Agerer Franz,,"D,0203,I,5889,,Sigma 1603",
6729,0.0368,55480.8348,p,V,Diethelm Roger,,"I,5960,,,,",
6835,0.0342,55879.2557,p,-Ir,Frank Peter,,"D,0225,I,6026,,Sigma 1603",
6839,0.0295,55894.2859,p,-Ir,Agerer Franz,,"D,0225,I,6026,,Sigma 1603",
7108,0.0246,56905.3745,p,-I,Agerer Franz,,"D,0239,I,6152,,Sigma 1603",
7215,-0.0125,57307.5196,p,U,Braunwarth H,,"D,0244,I,6196,,Atik 383 L",
7215,-0.009,57307.5231,p,V,Braunwarth H,,"D,0244,I,6196,,Atik 383 L",
7215,-0.0028,57307.5293,p,B,Braunwarth H,,"D,0244,I,6196,,Atik 383 L",
7219,-0.011,57322.5559,p,V,Braunwarth H,,"D,0244,I,6196,,Atik 383 L",
7219,0.0115,57322.5784,p,B,Braunwarth H,,"D,0244,I,6196,,Atik 383 L",
7219,0.0115,57322.5784,p,U,Braunwarth H,,"D,0244,I,6196,,Atik 383 L",
7241,-0.0132,57405.2454,p,V,Braunwarth H,,"D,0244,I,6196,,Atik 383 L",
7398,-0.0101,57995.3663,p,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
7493,-0.0007,58352.4533,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
7618,-0.0215,58822.2715,p,-Ir,Agerer Franz,,"D,0033,,,,Sigma 1603",
