0,0,51442.693,p,ccd,Antipin S V,,"I,5613,,,,Rotse",
3182,-0.0048,52888.4438,s,VI,Pejcha O,,"I,5645,,,,RL400",
3184,-0.0069,52889.3503,s,VI,Pejcha O,,"I,5645,,,,RL400",
3213,-0.0065,52902.2978,p,VI,Pejcha O,,"I,5645,,,,RL400",
3224,-0.0063,52907.2951,p,VI,Pejcha O,,"I,5645,,,,RL400",
3858,-0.0111,53195.5329,s,ccdR,Smelcer L,,"C,0034,E,0074,,RL280",
3964,-0.0088,53243.4621,p,ccdI,Smelcer L,,"C,0034,E,0074,,RL280",
3995,-0.0141,53257.5395,p,ccdR,Smelcer L,,"C,0034,E,0074,,RL280",
4776,-0.0131,53612.3355,p,ccd,Zejda Miloslav,,"I,5741,,,,RL400",
4906,-0.0158,53671.3896,p,ccdR,Svoboda P,,"C,0034,E,0074,,RL200",
4906,-0.0158,53671.3896,p,ccdV,Svoboda P,,"C,0034,E,0074,,RL200",
4906,-0.0158,53671.3896,p,ccdI,Svoboda P,,"C,0034,E,0074,,RL200",
5456,-0.0192,53921.469,s,-Ir,Raetz M,,,"D,0186,I,5802,,ST-6"
5456,-0.0187,53921.4695,s,ccdI,Smelcer L,,"C,0034,E,0074,,RL280",
5595,-0.0188,53984.3875,p,ccdI,Smelcer L,,"C,0034,E,0074,,RL280",
5608,-0.0198,53990.2922,p,ccdR,Smelcer L,,"C,0034,E,0074,,RL280",
5617,-0.0203,53994.3803,p,ccdI,Smelcer L,,"C,0034,E,0074,,RL280",
6328,-0.0198,54317.376,p,ccdR,Ehrenberger R,,"C,0034,E,0074,,RL96/400 + H",
6438,-0.0244,54367.3425,p,ccdR,Ehrenberger R,,"C,0034,E,0074,,RL96/400 + H",
8638,-0.0283,55366.7613,p,V,Diethelm Roger,,"I,5945,,,,Astrokolchoz",
11915,-0.0195,56855.4554,p,I,Smelcer L,,"C,0039,,,,28cm+G2",
11915,-0.0187,56855.4563,p,R,Smelcer L,,"C,0039,,,,28cm+G2",
11915,-0.0186,56855.4563,p,V,Smelcer L,,"C,0039,,,,28cm+G2",
11915,-0.0181,56855.4569,p,ccd,Smelcer L,,"C,0039,,,,28cm+G2",
13750,-0.0075,57689.3039,s,ccd,Smelcer L,,"C,0040,E,0179,,Celestron SC",
13750,-0.0065,57689.3049,s,R,Smelcer L,,"C,0040,E,0179,,Celestron SC",
13805,-0.006,57714.2909,s,R,Smelcer L,,"C,0041,E,0194,,28cm+G2-4000",
