-4092,0.0361,49048.446,R,vis,Frank Peter,,"D,0068,D,0068,,"
-1213,0.0172,50080.4327,r,ccd,Birkner C,,"D,0090,I,4382,,"
-145,0.0051,50463.5013,R,ccd,Birkner C,,"D,0102,I,4562,,"
0,0.01,50515.4023,s,vis,Brat Lubos,,"C,0032,,,,RL150"
903,0.0133,50839.3303,p,ccd,Safar Jan,,"C,0032,I,4888,,"
931,0.0124,50849.368,p,ccd,Safar Jan,,"C,0032,I,4888,,"
1813,0.0055,51165.4878,R,ccd,Kleikamp Wilhelm,"D,0118,I,4712,,",
1891,0.0114,51193.3688,s,ccd,Zejda Miloslav,,"C,0032,I,5263,,"
1891,0.0126,51193.5493,p,vis,Zejda Miloslav,,"C,0032,I,5263,,RL400"
1897,0.0114,51195.5199,s,vis,Zejda Miloslav,,"C,0032,I,5263,,RL400"
2014,0.0134,51237.469,s,vis,Zejda Miloslav,,"C,0032,I,5263,,RL400"
2694,-0.002,51481.4279,p,ccd,Safar Jan,,"C,0032,I,5263,,"
2703,0.0124,51484.4897,s,ccd,Safar Jan,,"C,0032,I,5263,,"
2798,0.0143,51518.5512,s,vis,Zejda Miloslav,,"C,0032,I,5263,,RL400"
2886,0.0104,51550.2765,p,vis,Zejda Miloslav,,"C,0032,I,5263,,RL400"
2901,0.0121,51555.4767,s,vis,Safar Jan,,"C,0032,,,,RL400"
2939,0.0113,51569.2791,p,vis,Zejda Miloslav,,"C,0032,I,5263,,RL400"
2940,0.0109,51569.4579,s,vis,Zejda Miloslav,,"C,0032,I,5263,,RL400"
2948,0.012,51572.3272,s,vis,Safar Jan,,"C,0032,,,,RL400"
2959,0.0162,51576.4544,p,vis,Zejda Miloslav,,"C,0032,I,5263,,RL400"
3699,0.0126,51841.5778,s,ccd,Zejda Miloslav,,"I,5287,,,,"
3796,0.0126,51876.5337,p,ccd,Zejda Miloslav,,"I,5287,,,,"
3888,0.0127,51909.5178,p,ccd,Zejda Miloslav,,"I,5287,,,normal min,"
3927,0.0136,51923.3218,s,ccd,Safar Jan,,"C,0034,E,0074,,RL400"
3930,0.0119,51924.3957,s,ccd,Zejda Miloslav,,"I,5583,,,,RL400"
3930,0.0113,51924.5744,p,ccd,Zejda Miloslav,,"I,5583,,,,RL400"
