0,0.0001,24231.0981,p,pg,GCVS,,,"0,GCVS,0,GCVS,,"
21234,0.0172,37092.326,p,pe,Knipe G F G,,"I,2805,I,2805,,",
21300,0.0166,37132.301,p,pe,Knipe G F G,,"I,2805,I,2805,,",
21300,0.017,37132.3014,p,V,Sistero R F,,"I,0453,I,0453,,",
26712,0.0213,40410.6002,s,pe,Chambliss C R,,"I,2805,I,2805,,",
26724,0.021,40417.5652,p,pe,Chambliss C R,,"I,2805,I,2805,,",
27292,0.0245,40761.6003,p,V,Sistero R F,,"I,0453,I,2805,,",
27293,0.0313,40762.5158,s,V,Sistero R F,,"I,0453,I,2805,,",
35800,0.0555,45914.8376,p,pe,Bruton J,,"I,2805,I,2805,,",
35805,0.0598,45917.8703,p,pe,Bruton J,,"I,2805,I,2805,,",
36967,0.046,46621.6677,p,U,De Laurenti,,"I,3127,I,3127,,",
36967,0.046,46621.6677,p,B,De Laurenti,,"I,3127,I,3127,,",
36967,0.0461,46621.6678,p,V,De Laurenti,,"I,3127,I,3127,,",
40069,0.0604,48500.531,p,V,Hipparcos,,"0,Hipp,0,Hipp,,",
45841,0.0426,51996.553,p,V,Paschke Anton,,"0,home,,,,Asas",
48250,0.033,53455.6494,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
53758,0.0052,56792.0623,s,V,Blackford Mark,,"E,0177,,,,Canon",
53813,0.0049,56825.072,p,V,Blackford Mark,,"E,0177,,,,Canon",
53816,0.0048,56826.889,p,V,Blackford Mark,,"E,0177,,,,Canon",
54334,0.002,57140.9363,s,V,Blackford Mark,,"E,0177,,,,Canon",
54335,-0.0004,57141.2366,p,V,Blackford Mark,,"E,0177,,,,Canon",
54402,0.0003,57182.1215,s,V,Blackford Mark,,"E,0177,,,,Canon",
55010,-0.0054,57550.072,p,V,Blackford Mark,,"E,0182,,,,Canon 600D",
