-9426,-0.2887,18028.358,p,vis,Hartwig E,,"N,0178,D,Lich,AN 178.394,",
-9418,-0.2734,18052.458,p,vis,Nijland A A,,"N,0211,D,Lich,AN 211.364,",
-9415,-0.2882,18061.475,p,vis,Nijland A A,,"N,0211,D,Lich,AN 211.364,",
-8594,-0.3015,20533.156,p,vis,Nijland A A,,"N,0211,D,Lich,AN 211.364,",
-8590,-0.3079,20545.192,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8579,-0.2844,20578.332,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8572,-0.2885,20599.402,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8492,-0.3047,20840.233,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8476,-0.3052,20888.402,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8471,-0.2961,20903.464,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8383,-0.306,21168.386,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8354,-0.3061,21255.693,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8286,-0.2893,21460.43,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8284,-0.2834,21466.457,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8283,-0.3,21469.451,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8274,-0.2873,21496.559,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-8258,-0.3008,21544.715,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-7983,-0.303,22372.625,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-7904,-0.2886,22610.476,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-7902,-0.2938,22616.492,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-7892,-0.3137,22646.578,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-7720,-0.2852,23164.428,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-7632,-0.3071,23429.338,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-7630,-0.2833,23435.383,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
-7619,-0.2988,23468.484,p,vis,Nijland A A,,",,D,Lich,BAN 6.114,",
