-57009,0.0556,25005.524,p,pg,Prager R,,",,D,Lich,KVBB 6.14,",
-54779,0.055,25760.394,p,vis,Jacchia L,,",,D,Lich,AN 241.388,",
-54779,0.061,25760.57,s,vis,Jacchia L,,",,D,Lich,AN 241.388,",
-51792,0.0375,26771.497,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.1.224,",
-51792,0.0425,26771.672,s,vis,Zessewitsch V P,,",,D,Lich,IODE 4.1.224,",
-49461,0.0377,27560.557,p,pg,Dobronrawin,,",,D,Lich,PZ 4.415,",
-47276,0.0519,28300.379,s,pg,Bodokia,,,",,D,Lich,AAOB 2.7,"
-47273,0.0444,28301.387,s,pg,Bodokia,,,",,D,Lich,AAOB 2.7,"
-47243,0.0462,28311.374,p,pg,Bodokia,,,",,D,Lich,AAOB 2.7,"
-47240,0.0407,28312.384,p,pg,Bodokia,,,",,D,Lich,AAOB 2.7,"
-47184,0.0383,28331.338,p,pg,Bodokia,,,",,D,Lich,AAOB 2.7,"
-38615,0.0268,31231.993,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.1.224,",
-38615,0.0278,31232.164,s,vis,Zessewitsch V P,,",,D,Lich,IODE 4.1.224,",
-32220,0.0195,33396.738,p,pe,Nason,,,",,D,Lich,AJ 56.182,"
-28882,0.0172,34526.672,p,pe,Fitch W S,,",,D,Lich,AJ 69.316,",
-28047,0.0158,34809.494,s,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-27997,0.0148,34826.4183,s,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-27996,0.016,34826.588,p,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-27964,0.0152,34837.4195,p,pe,Broglia P,,",,0,GCVS,MILM 165.6,",
-27933,0.001,34847.899,p,pe,Koch R H,,"I,5235,I,5235,,",
-23713,0.0113,36276.4088,p,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-23689,0.0115,36284.5332,p,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-23687,0.0105,36285.3792,s,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-23686,0.0118,36285.549,p,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-23613,0.0107,36310.4289,s,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-23612,0.0115,36310.5982,p,pe,Broglia P,,",,D,Lich,MILM 165.6,",
-23521,0.0112,36341.4021,p,pe,Broglia P,,"I,5235,I,5235,,",
-20490,0.0114,37367.417,p,vis,Braune W,,"D,0015,D,Lich,,",
-20490,0.0114,37367.417,p,vis,Gizinski R,,"D,0015,D,Lich,,",
-20490,0.0114,37367.417,p,vis,Quester W,,"D,0015,D,Lich,,",
-20487,0.0039,37368.425,p,vis,Masuch J,,"D,0015,D,Lich,,",
-20487,0.0039,37368.425,p,vis,Gizinski R,,"D,0015,D,Lich,,",
-20487,0.0059,37368.427,p,vis,Rudolph R,,"D,0015,D,Lich,,",
-20461,0.0077,37377.4,s,vis,Rudolph R,,"D,0015,D,Lich,,",
-20461,0.0097,37377.402,s,vis,Quester W,,"D,0015,D,Lich,,",
-20461,0.0117,37377.404,s,vis,Gizinski R,,"D,0015,D,Lich,,",
-20458,0.0092,37378.417,s,vis,Rudolph R,,"D,0015,D,Lich,,",
-20458,0.0102,37378.418,s,vis,Lehmann P B,,"D,0015,D,Lich,,",
-20458,0.0122,37378.42,s,vis,Quester W,,"D,0015,D,Lich,,",
-15060,-0.0036,39205.495,p,vis,Braune W,,"D,0023,D,Lich,,",
-14907,0.0018,39257.462,s,vis,Braune W,,"D,0023,D,Lich,,",
-14907,0.0068,39257.467,s,vis,Huebscher J,,"D,0023,D,Lich,,",
-13955,-0.0008,39579.548,p,vis,Locher Kurt,,"B,...7,B,...7,,",
-13831,-0.0037,39621.52,p,vis,Locher Kurt,,"B,...7,B,...7,,",
-13799,0.0011,39632.527,s,vis,Locher Kurt,,"B,...7,B,...7,,",
-13687,0.0013,39670.44,s,vis,Locher Kurt,,"B,...7,B,...7,,",
-12844,0.0079,39955.638,p,vis,Locher Kurt,,"B,..12,B,..12,Ori 107,",
-12688,0.0028,40008.44,p,vis,Diethelm Roger,,"B,..13,B,..13,Ori 108,",
-12682,0.0018,40010.47,p,vis,Diethelm Roger,,"B,..13,B,..13,Ori 108,",
-11757,0.0008,40323.588,p,vis,Bortle J,,"A,0014,I,0795,,",
-11754,-0.0047,40324.598,p,vis,Bortle J,,"A,0014,I,0795,,",
-11713,-0.0135,40338.638,s,vis,Bortle J,,"A,0014,I,0795,,",
-11695,-0.0046,40344.57,p,vis,Locher Kurt,,"B,..18,B,..18,Ori 113,",
-11689,-0.0087,40346.597,p,vis,Bortle J,,"A,0014,I,0795,,",
-11686,-0.0042,40347.617,p,vis,Bortle J,,"A,0014,I,0795,,",
-11683,-0.0057,40348.631,p,vis,Bortle J,,"A,0014,I,0795,,",
-11633,-0.0011,40365.561,p,vis,Locher Kurt,,"B,..18,B,..18,Ori 113,",
-11621,-0.0032,40369.621,p,vis,Bortle J,,"A,0014,I,0795,,",
-11589,-0.0014,40380.625,s,vis,Bortle J,,"A,0014,I,0795,,",
-11586,-0.0059,40381.466,p,vis,Locher Kurt,,"B,..18,B,..18,Ori 113,",
-10715,-0.0005,40676.311,p,vis,Locher Kurt,,"B,..23,B,..23,Ori 118,",
-10697,-0.0056,40682.569,s,vis,Locher Kurt,,"B,..23,B,..23,Ori 118,",
-5297,-0.0244,42510.318,p,vis,Berthold Thomas,,",,D,Lich,MVS 7.149,",
-5126,-0.0071,42568.39,s,vis,Diethelm Roger,,"B,0023,B,0023,,",
-5117,-0.0237,42571.42,s,vis,Diethelm Roger,,"B,0023,B,0023,,",
-4222,-0.0094,42874.398,s,vis,Peter H,,,"B,0027,B,0027,,"
-4189,-0.0082,42885.4,p,vis,Peter H,,,"B,0027,B,0027,,"
-4183,-0.0142,42887.425,p,vis,Peter H,,,"B,0027,B,0027,,"
-4148,-0.014,42899.443,s,vis,Peter H,,,"B,0027,B,0027,,"
-4098,-0.0133,42916.369,s,vis,Peter H,,,"B,0028,B,0028,,"
-4068,-0.0305,42926.507,s,vis,Peter H,,,"B,0028,B,0028,,"
-3220,-0.0085,43213.413,p,vis,Peter H,,,"B,0033,B,0033,,"
-3129,-0.0046,43244.391,s,vis,Royer A,,,"G,EB03,G,EB03,,"
-2990,-0.0041,43291.444,s,vis,Royer A,,,"G,EB03,G,EB03,,"
-2966,-0.0122,43299.39,p,vis,Royer A,,,"G,EB03,G,EB03,,"
-2928,-0.0135,43312.422,s,vis,Royer A,,,"G,EB03,G,EB03,,"
-2257,-0.0249,43539.3788,p,vis,Tvardowskyi,,",,,,priv.comm,",
-2066,-0.0159,43604.2126,s,vis,Tvardowskyi,,",,,,priv.comm,",
-1953,-0.0198,43642.46,s,vis,Peter H,,,"B,0037,B,0037,,"
-1911,-0.0151,43656.512,p,vis,Peter H,,,"B,0037,B,0037,,"
-1891,-0.0123,43663.455,s,vis,Peter H,,,"B,0037,B,0037,,"
-1162,-0.0186,43910.2203,s,vis,Tvardowskyi,,",,,,priv.comm,",
-1000,-0.0164,43964.8906,p,b,Aslan Zeki,,"I,2478,I,2478,,",
-991,-0.0164,43967.9372,p,b,Aslan Zeki,,"I,2478,I,2478,,",
-952,-0.0135,43981.3118,s,vis,Tvardowskyi,,",,,,priv.comm,",
-931,-0.008,43988.426,s,vis,Peter H,,,"B,0043,B,0043,,"
-872,-0.0229,44008.383,s,vis,Peter H,,,"B,0043,B,0043,,"
-262,-0.0142,44214.711,p,vis,Locher Kurt,,"B,0046,B,0046,,",
-68,-0.0264,44280.3691,p,vis,Tvardowskyi,,",,,,priv.comm,",
-11,-0.0094,44299.681,p,vis,Locher Kurt,,"B,0046,B,0046,,",
0,-0.012,44303.402,p,vis,Peter H,,,"B,0047,B,0047,,"
38,-0.0123,44316.435,s,vis,Locher Kurt,,"B,0047,B,0047,,",
106,-0.0167,44339.449,s,vis,Peter H,,,"B,0047,B,0047,,"
198,-0.0184,44370.42,p,vis,Peter H,,,"B,0048,B,0048,,"
233,-0.0281,44382.428,s,vis,Peter H,,,"B,0048,B,0048,,"
292,-0.013,44402.415,s,vis,Peter H,,,"B,0048,B,0048,,"
863,-0.0145,44595.701,s,vis,Locher Kurt,,"B,0052,B,0052,,",
1086,-0.0194,44671.1832,s,vis,Tvardowskyi,,",,,,priv.comm,",
1155,-0.0184,44694.3712,p,pe,Derman E,,"I,2159,I,2478,,",
1158,-0.0183,44695.3868,p,pe,Derman E,,"I,2159,I,2478,,",
1193,-0.0168,44707.4061,s,vis,Carbol K,,"C,0026,C,0026,,",
2139,-0.0155,45027.465,p,vis,Locher Kurt,,"B,0059,B,0059,,",
2195,-0.0196,45046.4173,p,pe,Rovithis P,,"I,5235,I,5235,,",
2195,-0.0191,45046.5878,s,pe,Rovithis P,,"I,5235,I,5235,,",
2197,-0.0187,45047.2652,s,pe,Rovithis P,,"I,5235,I,5235,,",
2198,-0.0188,45047.4336,p,pe,Rovithis P,,"I,5235,I,5235,,",
2198,-0.0197,45047.6027,s,pe,Rovithis P,,"I,5235,I,5235,,",
2203,-0.0175,45049.2974,s,pe,Rovithis P,,"I,5235,I,5235,,",
2204,-0.0161,45049.4673,p,pe,Rovithis P,,"I,5235,I,5235,,",
2238,-0.0216,45061.141,s,vis,Tvardowskyi,,",,,,priv.comm,",
2239,-0.0042,45061.327,p,vis,Germann R,,"B,0060,B,0060,,",
2283,-0.0325,45076.363,s,vis,Peter H,,,"B,0060,B,0060,,"
2354,-0.0135,45100.416,s,vis,Peter H,,,"B,0060,B,0060,,"
2381,-0.016,45109.3832,p,pe,Rovithis P,,"I,5235,I,5235,,",
2384,-0.0162,45110.3985,p,pe,Rovithis P,,"I,5235,I,5235,,",
3176,-0.0122,45378.5,p,vis,Locher Kurt,,"B,0065,B,0065,,",
3209,-0.013,45389.67,p,vis,Locher Kurt,,"B,0065,B,0065,,",
3252,-0.0168,45404.392,s,vis,Peter H,,,"B,0065,B,0065,,"
3367,-0.0112,45443.3259,s,vis,Tvardowskyi,,",,,,priv.comm,",
3515,-0.0271,45493.409,s,vis,Germann R,,"B,0067,B,0067,,",
4181,-0.0128,45718.699,p,vis,Locher Kurt,,"B,0070,B,0070,,",
4312,-0.0185,45763.2077,s,vis,Tvardowskyi,,",,,,priv.comm,",
4366,-0.0196,45781.316,p,vis,Germann R,,"B,0071,B,0071,,",
4458,-0.0122,45812.466,p,vis,Peter H,,,"B,0072,B,0072,,"
4461,-0.0217,45813.472,p,vis,Brelstaff T,,"R,0007,R,0007,VSSC 61.16,",
4466,-0.0153,45815.341,s,vis,Germann R,,"B,0071,B,0071,,",
4467,-0.0168,45815.508,p,vis,Brelstaff T,,"R,0007,R,0007,VSSC 61.16,",
4475,-0.0158,45818.387,s,vis,Peter H,,,"B,0072,B,0072,,"
4670,-0.0127,45884.399,s,vis,Peter H,,,"B,0073,B,0073,,"
5350,-0.0114,46114.415,p,vis,Brelstaff T,,"R,0008,R,0008,VSSC 63.21,",
5412,-0.0069,46135.407,p,vis,Brelstaff T,,"R,0008,R,0008,VSSC 63.21,",
5435,-0.0103,46143.1892,p,vis,Tvardowskyi,,",,,,priv.comm,",
5518,-0.0226,46171.443,s,vis,Germann R,,"B,0076,B,0076,,",
5545,-0.0073,46180.428,p,vis,Peter H,,,"B,0076,B,0076,,"
5636,-0.0129,46211.2265,p,vis,Tvardowskyi,,",,,,priv.comm,",
5654,-0.0136,46217.489,s,vis,Brelstaff T,,"R,0008,R,0008,VSSC 63.21,",
5657,-0.0151,46218.503,s,vis,Brelstaff T,,"R,0008,R,0008,VSSC 63.21,",
5695,-0.0202,46231.1912,p,vis,Tvardowskyi,,",,,,priv.comm,",
5695,-0.0202,46231.1912,p,vis,Tvardowskyi,,",,,,priv.comm,",
6593,-0.0207,46535.34,s,vis,Germann R,,"B,0080,B,0080,,",
6649,-0.0089,46554.3081,s,vis,Tvardowskyi,,",,,,priv.comm,",
6670,-0.015,46561.2407,p,vis,Tvardowskyi,,",,,,priv.comm,",
6706,-0.0219,46573.42,p,vis,Germann R,,"B,0080,B,0080,,",
7600,-0.0138,46876.2234,s,vis,Tvardowskyi,,",,,,priv.comm,",
7695,-0.0234,46908.372,s,vis,Germann R,,"B,0083,B,0083,,",
7718,-0.0323,46916.1487,s,vis,Tvardowskyi,,",,,,priv.comm,",
