-15214,-0.3735,23797.7173,p,V,Pilecki B,,",,0,GCVS,MNRAS378.757,",
-4626,-0.2748,41349.12,p,UVB,Landolt Arno,,",,,,PASP 85,",
-4566,-0.2016,41448.6528,p,UVB,Landolt Arno,,",,,,PASP 85,",
-4193,0.2566,42068.2482,s,V,Kviz Zdenek,,"I,1162,I,1162,,",
-4175,0.2759,42097.2754,p,V,Kviz Zdenek,,"I,1162,I,1162,,",
-3429,-0.6505,43332.9634,p,pe,Drechsel H,,"I,3868,I,3868,,",
-3267,-0.4982,43601.6566,p,pe,Drechsel H,,"I,1842,,,,",
-3012,-0.2913,44024.5668,p,pe,Drechsel H,,"I,1842,,,,",
-2990,-0.2666,44061.06,p,pe,GCVS,,,"0,GCVS,0,GCVS,,"
-2846,-0.1447,44299.8849,p,pe,Drechsel H,,"I,1842,,,,",
-2843,-0.1402,44304.8624,p,pe,Drechsel H,,"I,1842,,,,",
-1875,0.6325,45910.25,p,pe,Pfleiderer,,"I,2786,I,2786,,",
-1872,0.6348,45915.2253,p,pe,Pfleiderer,,"I,2786,I,2786,,",
0,-0.7964,49017.7636,s,pe,Drechsel H,,"I,3868,I,3868,,",
3,-0.7941,49022.7389,s,pe,Drechsel H,,"I,3868,I,3868,,",
941,-0.7143,50576.8738,p,V,Ogloza Waldemar,,"I,5507,,,,Asas",
1336,-0.7051,51231.6587,p,V,Ogloza Waldemar,,"I,5507,,,,Asas",
1336,-0.7142,51232.4796,s,V,Ogloza Waldemar,,"I,5507,,,,Asas",
1523,-0.7031,51541.6431,p,V,Ogloza Waldemar,,"I,5507,,,,Asas",
1750,-0.718,51918.747,s,V,Mayer Pavel,,"I,5498,,,,Asas",
2182,-0.7237,52634.8504,s,V,Mayer Pavel,,"I,5498,,,,Asas",
2271,-0.7499,52782.356,s,V,Paschke Anton,,"0,home,,,,Asas",
2271,-0.7349,52782.371,s,V,Paschke Anton,,"0,home,,,,Asas",
2728,-0.7725,53539.884,s,V,Sobotka Petr,,"I,5809,,,,INTEGRAL OMC",
2937,-0.8004,53886.307,s,ccd,Hund Friedhelm,,"D,0178,I,5731,,ST8",
3158,0.8247,54254.275,s,ccd,Paschke Anton,,"E,0073,,,,Hakos 50 cm",
3611,0.7417,55004.282,p,ccd,Paschke Anton,,"E,0116,,,,Tak+STE",
4622,0.5381,56680.8026,s,B,Masek M,,,"C,0039,E,0168,,FRAM, Nikkor"
4622,0.5392,56680.8037,s,R,Masek M,,,"C,0039,E,0168,,FRAM, Nikkor"
4622,0.5409,56680.8055,s,I,Masek M,,,"C,0039,E,0168,,FRAM, Nikkor"
4675,0.5244,56768.6449,s,R,Masek M,,,"C,0039,E,0168,,FRAM, Nikkor"
4675,0.5245,56768.645,s,I,Masek M,,,"C,0039,E,0168,,FRAM, Nikkor"
4675,0.5263,56768.6468,s,B,Masek M,,,"C,0039,E,0168,,FRAM, Nikkor"
