-6,0.3034,17587.21,p,P,Blazko S,,"N,0177,D,Lich,AN 177.110,"
0,0.06,17796.42,p,V,Nijland A A,,"N,0177,D,Lich,AN 177.72,"
1,0.1411,17831.41,p,V,Nijland A A,,"N,0177,D,Lich,AN 177.72,"
2,0.0222,17866.2,p,V,Nijland A A,,"N,0177,D,Lich,AN 177.72,"
4,-0.0056,17935.99,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
5,-0.0045,17970.9,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
12,0.0132,18215.28,p,V,Nijland A A,,"N,0195,D,Lich,AN 195.440,"
14,0.0054,18285.09,p,V,Nijland A A,,"N,0195,D,Lich,AN 195.440,"
15,0.0065,18320,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
16,-0.0224,18354.88,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
23,-0.0147,18599.25,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
27,-0.0203,18738.88,p,V,Nijland A A,,"N,0195,D,Lich,AN 195.440,"
33,0.0163,18948.37,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
37,-0.0293,19087.96,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
40,0.024,19192.74,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
61,-0.0229,19925.78,p,V,Nijland A A,,"N,0203,D,Lich,AN 203.398,"
68,-0.0752,20170.09,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
70,-0.043,20239.94,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
80,-0.042,20589.03,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
95,-0.0755,21112.63,p,V,Nijland A A,,"N,0228,D,Lich,AN 228.200,"
451,-0.1239,33540.15,p,V,Kordylewski K,,"K,0022,D,Lich,SAC 22.81,"
523,-0.2047,36053.51,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
545,-0.1805,36821.53,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
576,-0.3864,37903.5,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
609,-0.5401,39055.34,p,P,Haeussler Klaus,,",,D,Lich,HABZ 75,"
609,-0.4701,39055.41,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
616,-0.7524,39299.49,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
620,-0.498,39439.38,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
627,-0.7303,39683.51,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
630,0.363,39789.33,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
638,0.2818,40068.52,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
641,0.3751,40173.34,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
649,0.3039,40452.54,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
684,0.1924,41674.24,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
685,-0.7065,41708.25,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
691,0.0601,41918.47,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
693,-0.8577,41987.37,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
702,-0.9978,42301.41,p,P,Ahnert P,,",,D,Lich,MVS 7.168,"
702,-0.0978,42302.31,p,P,Haeussler Klaus,,",,D,Lich,HABZ 75,"
713,-0.0957,42686.31,p,vis,Winiarski M,,"N,0301,N,0301,,"
962,0.1512,51378.873,p,ccd,Paschke Anton,,"0,home,,,weaekening,Rotse"
963,-0.4497,51413.181,p,ccd,Paschke Anton,,"0,home,,,weaekening,Rotse"
964,0.1284,51448.668,p,ccd,Paschke Anton,,"0,home,,,weaekening,Rotse"
965,0.1935,51483.642,p,ccd,Paschke Anton,,"0,home,,,weaekening,Rotse"
1130,0.0862,57243.5032,p,R,Mazanec J.,,"C,0040,E,0179,,ORION NWT 50"
