-65396,-0.1285,24609.332,p,pg,Guthnick P,,"N,0228,D,Lich,AN 228.100,",
-65396,-0.1235,24609.337,p,pg,Parenago P P,,"N,0240,D,Lich,AN 240.328,",
-65396,-0.1105,24609.35,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-65381,-0.1468,24614.34,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-65378,-0.1196,24615.34,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-65375,-0.1225,24616.31,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-65359,-0.131,24621.49,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-65270,-0.1423,24650.34,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50865,-0.0913,29321.54,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50819,-0.0684,29336.48,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50782,-0.0869,29348.46,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50739,-0.0811,29362.41,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50730,-0.0817,29365.49,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50727,-0.0845,29366.46,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50724,-0.0974,29367.42,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50628,-0.0766,29398.41,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50625,-0.0895,29399.37,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50610,-0.0958,29404.39,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50422,-0.0992,29465.19,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-50419,-0.062,29466.2,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-49620,-0.0769,29725.45,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-49614,-0.0626,29727.41,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-49611,-0.0655,29728.38,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-49598,-0.1492,29732.35,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-49555,-0.0934,29746.35,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-49546,-0.0939,29749.43,s,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-48500,-0.113,30088.45,p,pg,Dragomirecka B A,",,D,Lich,PZ 6.255,",,
-43955,-0.0858,31562.51,s,vis,Zessewitsch V P,,",,D,Lich,PZ 6.255,",
-43900,-0.0614,31580.37,s,vis,Zessewitsch V P,,",,D,Lich,PZ 6.255,",
-43899,-0.0627,31580.531,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.1.126,",
-43899,-0.0637,31580.692,s,vis,Zessewitsch V P,,",,D,Lich,IODE 4.1.126,",
-43887,-0.0651,31584.42,p,vis,Zessewitsch V P,,",,D,Lich,PZ 6.255,",
-43881,-0.0708,31586.36,p,vis,Zessewitsch V P,,",,D,Lich,PZ 6.255,",
-40600,-0.0556,32650.513,s,vis,Szafraniec Rosa,,"K,0002,D,Lich,AAB 2.111,",
-40575,-0.0577,32658.456,p,vis,Szafraniec Rosa,,"K,0002,D,Lich,AAB 2.111,",
-40510,-0.0612,32679.531,p,vis,Szafraniec Rosa,,"K,0004,D,Lich,AAC 4.114,",
-40393,-0.0534,32717.48,p,vis,Szafraniec Rosa,,"K,0004,D,Lich,AAC 4.114,",
-40390,-0.0762,32718.43,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39560,-0.06,32987.602,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39521,-0.056,33000.415,s,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.5,",
-39515,-0.0527,33002.364,s,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.5,",
-39512,-0.0586,33003.331,s,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39502,-0.0564,33006.414,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.5,",
-39490,-0.0608,33010.463,s,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39434,-0.0497,33028.472,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39428,-0.0654,33030.402,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39425,-0.0543,33031.386,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39422,-0.0622,33032.513,s,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39397,-0.0583,33040.462,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39394,-0.0531,33041.44,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.5,",
-39357,-0.0586,33053.433,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39354,-0.0585,33054.406,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39348,-0.0542,33056.518,s,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39317,-0.059,33066.404,p,vis,Szafraniec Rosa,,",,0,GCVS,AAC 5.5,",
-39311,-0.0437,33068.527,s,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-39308,-0.0555,33069.488,s,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-38441,-0.0568,33350.479,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-38417,-0.0546,33358.426,s,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.7,",
-38404,-0.0533,33362.481,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-38395,-0.0588,33365.394,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.7,",
-38315,-0.0515,33391.344,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-38256,-0.0513,33410.477,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-38182,-0.0473,33434.478,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-38173,-0.0439,33437.4,p,vis,Szafraniec Rosa,,",,D,Lich,AAB 2.111,",
-37226,-0.0488,33744.492,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.10,",
-37078,-0.0398,33792.495,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.10,",
-37057,-0.0528,33799.454,s,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.10,",
-36067,-0.04,34120.346,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.52,",
-36058,-0.0425,34123.424,s,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.52,",
-35959,-0.0456,34155.363,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.52,",
-35046,-0.0499,34451.43,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.189,",
-35025,-0.0459,34458.406,s,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.189,",
-34926,-0.041,34490.353,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.189,",
-34855,-0.0392,34513.379,p,vis,Szafraniec Rosa,,",,D,Lich,AAC 5.189,",
-34746,-0.0441,34548.721,p,pg,Koch,,,",,D,Lich,AJ 67.462,"
-33679,-0.0422,34894.734,p,pg,Koch,,,",,D,Lich,AJ 67.462,"
-33624,-0.0358,34912.738,s,pg,Whitney B S,,",,D,Lich,AJ 62.372,",
-32887,-0.0341,35151.575,p,vis,Szafraniec Rosa,,"K,0006,K,0006,AA 6.141,",
