7394,-0.0266,41500.534,p,pg,GCVS,,,"0,GCVS,0,GCVS,,"
7417,-0.026,41570.397,p,vis,Peter H,,,"B,0005,B,0005,,"
7524,-0.0179,41895.417,p,vis,Locher Kurt,,"B,0010,B,0010,,",
7526,-0.0438,41901.466,p,vis,Locher Kurt,,"B,0011,B,0011,,",
7526,-0.0368,41901.473,p,vis,Peter H,,,"B,0011,B,0011,,"
7527,-0.0313,41904.516,p,vis,Diethelm Roger,,"B,0011,B,0011,,",
7527,-0.0273,41904.52,p,vis,Locher Kurt,,"B,0011,B,0011,,",
7550,-0.0397,41974.37,p,vis,Peter H,,,"B,0012,B,0012,,"
7657,-0.0476,42299.374,p,vis,Peter H,,,"B,0017,B,0017,,"
7658,-0.0441,42302.415,p,vis,Peter H,,,"B,0017,B,0017,,"
7766,-0.0544,42630.454,p,vis,Locher Kurt,,"B,0023,B,0023,,",
7816,-0.0651,42782.318,p,vis,Peter H,,,"B,0026,B,0026,,"
7873,-0.0663,42955.454,p,vis,Peter H,,,"B,0028,B,0028,,"
7873,-0.0593,42955.461,p,vis,Locher Kurt,,"B,0028,B,0028,,",
7875,-0.0583,42961.537,p,vis,Locher Kurt,,"B,0029,B,0029,,",
7876,-0.0697,42964.563,p,vis,Locher Kurt,,"B,0029,B,0029,,",
8009,-0.0684,43368.551,p,vis,Locher Kurt,,"B,0034,B,0034,,",
8271,-0.0899,44164.353,p,vis,Peter H,,,"B,0045,B,0045,,"
8272,-0.0844,44167.396,p,vis,Peter H,,,"B,0045,B,0045,,"
8330,-0.099,44343.556,p,vis,Locher Kurt,,"B,0047,B,0047,,",
8378,-0.1077,44489.347,p,vis,Peter H,,,"B,0050,B,0050,,"
8381,-0.1162,44498.451,p,vis,Locher Kurt,,"B,0050,B,0050,,",
8487,-0.1096,44820.432,p,vis,Pleinerova J,,"C,0026,C,0026,,",
8487,-0.1086,44820.433,p,vis,Slatinsky A,,"C,0026,C,0026,,",
8487,-0.1076,44820.434,p,vis,Wagner V,,"C,0026,C,0026,,",
8487,-0.106,44820.4356,p,vis,Manek J,,,"C,0026,C,0026,,"
8514,-0.1159,44902.438,p,vis,Locher Kurt,,"B,0057,B,0057,,",
8518,-0.1102,44914.5937,p,vis,Silhan Jindrich,,"C,0026,C,0026,,",
8572,-0.1226,45078.606,p,vis,Locher Kurt,,"B,0060,B,0060,,",
8620,-0.1193,45224.409,p,vis,Peter H,,,"B,0062,B,0062,,"
8729,-0.1421,45555.473,p,vis,Locher Kurt,,"B,0068,B,0068,,",
8776,-0.1463,45698.231,p,vis,Locher Kurt,,"B,0070,B,0070,,",
8866,-0.1548,45971.597,p,vis,Schildknecht T,,"B,0074,B,0074,,",
8866,-0.1508,45971.601,p,vis,Locher Kurt,,"B,0074,B,0074,,",
8886,-0.1547,46032.347,p,vis,Locher Kurt,,"B,0074,B,0074,,",
8945,-0.1518,46211.562,p,vis,Locher Kurt,,"B,0077,B,0077,,",
8994,-0.152,46360.399,p,vis,Peter H,,,"B,0078,B,0078,,"
9099,-0.1529,46679.335,p,vis,Locher Kurt,,"B,0081,B,0081,,",
9127,-0.1637,46764.374,p,vis,Peter H,,,"B,0082,B,0082,,"
9449,-0.1528,47742.458,p,vis,Peter H,,,"B,0092,B,0092,,"
9499,-0.1615,47894.324,p,vis,Peter H,,,"B,0094,B,0094,,"
9581,-0.154,48143.406,p,vis,Peter H,,,"B,0096,B,0096,,"
9581,-0.15,48143.41,p,vis,Locher Kurt,,"B,0096,B,0096,,",
9582,-0.1485,48146.449,p,vis,Peter H,,,"B,0096,B,0096,,"
9690,-0.1689,48474.478,p,vis,Peter H,,,"B,0098,B,0098,,"
9738,-0.1526,48620.294,p,vis,Peter H,,,"B,0100,B,0100,,"
9739,-0.1551,48623.329,p,vis,Locher Kurt,,"B,0099,B,0099,,",
9739,-0.1521,48623.332,p,vis,Peter H,,,"B,0100,B,0100,,"
9821,-0.1526,48872.406,p,vis,Peter H,,,"B,0102,B,0102,,"
10169,-0.1365,49929.47,p,vis,Peter H,,,"B,0110,B,0110,,"
10192,-0.1238,49999.345,p,vis,Peter H,,,"B,0110,B,0110,,"
10385,-0.1398,50585.5654,p,ccd,Frank Peter,,"D,0128,I,4912,,LcCCD11",
10409,-0.137,50658.468,p,vis,Peter H,,,"B,0115,B,0115,,"
10433,-0.1369,50731.368,p,vis,Peter H,,,"B,0116,B,0116,,"
10623,-0.1298,51308.499,p,ccd,Frank Peter,,"D,0128,I,4912,,LcCCD11",
10915,-0.1212,52195.4558,p,-Ir,Frank Peter,,"D,0158,I,5484,,",
10972,-0.1177,52368.5965,p,-Ir,Frank Peter,,"D,0158,I,5484,,",
11157,-0.104,52930.5466,p,-Ir,Frank Peter,,"D,0172,I,5643,,",
11284,-0.089,53316.3233,p,ccd,Poschinger Konst,"D,0173,I,5657,,",,
11396,-0.0774,53656.5342,p,ccd,Zejda Milos,,"I,5741,,,,RL400",
11503,-0.0697,53981.5538,p,ccd,Dogru S S,,"I,5746,,,,UG301",
11635,-0.0574,54382.5153,p,ccd,Raetz Manfred,,"D,0201,I,5874,,ST-6",
11896,-0.0372,55175.3214,p,ccd,Jungbluth H,,"D,0212,I,5941,,ST-7",
11980,-0.03,55430.4781,p,-Ir,Agerer Franz,,"D,0215,I,5984,,Sigma 1603",
12088,-0.02,55758.5375,p,-Ir,Agerer Franz,,"D,0220,I,6010,,Sigma 403",
12485,-0.0017,56964.4409,p,ccd,Smelcer L,,"C,0040,E,0179,,Celestron 28",
12485,-0.0009,56964.4417,p,R,Smelcer L,,"C,0040,E,0179,,Celestron 28",
12485,0.0001,56964.4427,p,I,Smelcer L,,"C,0040,E,0179,,Celestron 28",
12540,-0.001,57131.5038,p,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
12591,0.001,57286.418,p,-U-I,Moschner W,,"D,0244,I,6196,,STL-11000",
12939,0.0064,58343.4713,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
12939,0.0064,58343.4713,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
