-10580,0.0009,18215.579,p,pg,Cannon A J,,",,D,Lich,HC 159,",
-10215,-0.0026,18967.406,p,vis,Zinner E,,",,D,Lich,AN 190.379,",
-10034,-0.0011,19340.233,p,vis,Belanowsky I,,",,D,Lich,AN 199.281,",
-9889,-0.0104,19639.926,s,vis,Lazzarino O,,",,D,Lich,AN 197.105,",
-9866,-0.0061,19686.276,p,vis,Belanowsky I,,",,D,Lich,AN 199.281,",
-9731,-0.0123,19964.344,p,vis,Lazzarino O,,",,D,Lich,AN 197.105,",
-9715,-0.0033,19998.34,s,vis,Belanowsky I,,",,D,Lich,AN 199.281,",
-9714,-0.0051,19999.368,p,vis,Balanowsky I,,",,D,Lich,AN 199.281,",
-9697,-0.0029,20035.417,s,vis,Belanowsky I,,",,D,Lich,AN 199.281,",
-9696,-0.0027,20036.447,p,vis,Belanowsky I,,",,D,Lich,AN 199.281,",
-9683,-0.0032,20063.224,p,vis,Belanowsky I,,",,D,Lich,AN 199.281,",
-9614,-0.001,20206.383,s,vis,Belanowsky I,,",,D,Lich,AN 199.281,",
-9597,-0.0088,20240.362,p,vis,Belanowsky I,,",,D,Lich,AN 199.281,",
-9421,-0.0123,20603.915,s,pg,Baker R,,,",,D,Lich,LAWS 31.8,"
-9406,-0.0124,20633.782,p,pg,Baker R,,,",,D,Lich,LAWS 31.4,"
-9224,-0.0097,21008.67,p,pg,Baker R,,,",,D,Lich,LAWS 31.8,"
-8277,-0.0053,22959.314,p,vis,Hellerich J,,",,D,Lich,AN 215.192,",
-8277,-0.0093,22960.34,s,vis,Hellerich J,,",,D,Lich,AN 215.192,",
-7926,0.0076,23682.32,p,vis,Okunew B,,",,D,Lich,AN 234.361,",
-7856,0.003,23826.502,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.72,",
-7471,0.0033,24619.529,p,vis,Gadomski J,,",,D,Lich,CRAC 22.13,",
-7471,0.0103,24620.566,s,vis,Gadomski J,,",,D,Lich,CRAC 22.13,",
-7056,-0.0006,25474.346,p,vis,Szczyrbak S,,",,D,Lich,AAC 1.153,",
-6871,0.0117,25855.423,p,vis,Szczyrbak S,,",,D,Lich,AAC 1.153,",
-6403,0.0098,26820.442,s,vis,Gadomski J,,",,D,Lich,BZ 14.35,",
-6402,0.011,26821.473,p,vis,Gadomski J,,",,D,Lich,BZ 14.35,",
-6137,0.0165,27367.328,p,vis,Himpel K,,",,D,Lich,AN 261.255,",
-6137,0.0275,27368.369,s,vis,Himpel K,,",,D,Lich,AN 261.255,",
-6122,0.0164,27398.225,p,vis,Gadomski J,,",,D,Lich,WARC 12,",
-6122,0.0154,27399.254,s,vis,Gadomski J,,",,D,Lich,WARC 12,",
-5849,0.0114,27960.548,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5849,0.0274,27961.594,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5836,0.0049,27988.349,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5835,0.0041,27989.378,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5833,0.0215,27993.515,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5833,0.0135,27994.537,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5832,-0.0033,27995.55,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5832,0.0067,27996.59,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5820,0.0189,28021.32,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5819,0.0191,28022.35,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5819,0.0381,28023.399,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5817,0.0075,28026.458,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5804,0.013,28054.271,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5800,-0.0092,28062.488,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5771,-0.0077,28122.224,s,vis,Lause F,,,",,D,Lich,AN 259.191,"
-5669,0.0057,28331.308,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5666,0.0153,28337.497,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5652,0.009,28366.328,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5652,0.01,28367.359,s,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5649,-0.0035,28373.525,s,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5636,0.023,28399.299,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5604,-0.0009,28465.189,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5604,0.0141,28466.234,s,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5602,0.0165,28469.326,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5482,0.0134,28717.53,s,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5481,0.0135,28718.56,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5452,0.0121,28778.293,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5452,0.0261,28779.337,s,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5451,0.0093,28780.35,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5450,0.0154,28782.416,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-5420,0.0182,28844.213,p,vis,Lause F,,,",,D,Lich,AN 266.20,"
-4913,0.0088,29888.527,p,pg,Gaposchkin S,,",,D,Lich,HA 113.74,",
-4701,0.0002,30325.198,p,vis,Mergentaler J,,",,D,Lich,SAC 21.74,",
-4701,0.0002,30326.228,s,vis,Mergentaler J,,",,D,Lich,SAC 21.74,",
-3376,-0.0003,33054.445,p,pe,Piotrowski S,,",,D,Lich,AAC 4.129,",
-3342,0.0001,33124.479,p,pe,Piotrowski S,,",,D,Lich,AAC 4.129,",
-3211,-0.0039,33394.31,p,pe,Botsula R A,,",,D,Lich,PZ 11.26,",
-3024,-0.0023,33779.496,p,vis,Domke K,,,"D,0008,D,Lich,,"
-2990,-0.0008,33849.531,p,vis,Domke K,,,"D,0008,D,Lich,,"
