-10731,0.0952,10000.2,p,pg,Pickering E,,",,D,Lich,AN 158.28,",
-10295,0.1861,11504.831,p,pg,Harvard phot.,,",,D,Lich,AN 158.27,",
-10047,0.1497,12360.588,p,pg,Harvard phot.,,",,D,Lich,AN 158.27,",
-9834,0.1305,13095.585,p,pg,Harvard phot.,,",,D,Lich,AN 158.27,",
-9632,0.177,13792.689,p,pg,Harvard phot.,,",,D,Lich,AN 158.27,",
-9484,0.2195,14303.447,p,pg,Harvard phot.,,",,D,Lich,AN 158.27,",
-9102,0.1766,15621.602,p,vis,Williams A S,,",,D,Lich,AN 156.313,",
-9098,0.1764,15635.405,p,vis,Williams A S,,",,D,Lich,AN 156.313,",
-9096,0.1819,15642.312,p,vis,Williams A S,,",,D,Lich,AN 156.313,",
-9086,0.1741,15676.812,p,pg,Whitney B S,,",,D,Lich,AJ 64.260,",
-9084,0.1715,15683.711,p,pg,Whitney B S,,",,D,Lich,AJ 64.260,",
-9082,0.175,15690.616,p,pg,Whitney B S,,",,D,Lich,AJ 64.260,",
-9082,0.176,15690.617,p,vis,Wendell O C,,",,D,Lich,AN 158.27,",
-9078,0.1748,15704.419,p,pg,Whitney B S,,",,D,Lich,AJ 64.260,",
-9073,0.1799,15721.678,p,pg,Whitney B S,,",,D,Lich,AJ 64.260,",
-9007,0.1755,15949.425,p,pg,Williams A S,,",,D,Lich,AJ 23.7,",
-8996,0.1829,15987.391,p,pg,Williams A S,,",,D,Lich,AJ 23.7,",
-8994,0.1753,15994.285,p,pg,Williams A S,,",,D,Lich,AJ 23.7,",
-8989,0.1754,16011.539,p,pg,Williams A S,,",,D,Lich,AJ 23.7,",
-8987,0.1739,16018.439,p,pg,Williams A S,,",,D,Lich,AJ 23.7,",
-8754,0.1681,16822.465,p,pg,Whitney B S,,",,D,Lich,AJ 64.260,",
-8581,0.1682,17419.45,p,vis,Graff K,,,",,D,Lich,MHAM 11.56,"
-8559,0.171,17495.37,p,vis,Graff K,,,",,D,Lich,MHAM 11.56,"
-8468,0.17,17809.39,p,vis,Graff K,,,",,D,Lich,MHAM 11.56,"
-8466,0.1745,17816.296,p,vis,Graff K,,,",,D,Lich,MHAM 11.56,"
-8457,0.1685,17847.347,p,vis,Graff K,,,",,D,Lich,MHAM 11.56,"
-8188,0.1686,18775.607,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8184,0.1755,18789.417,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8157,0.1675,18882.58,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8135,0.1703,18958.5,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8133,0.1647,18965.396,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8073,0.1689,19172.447,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8064,0.1719,19203.507,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8053,0.1723,19241.466,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8049,0.1602,19255.257,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8022,0.1752,19348.443,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-8011,0.1666,19386.393,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7973,0.1669,19517.523,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7971,0.1624,19524.42,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7964,0.1779,19548.591,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7944,0.1743,19617.603,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7942,0.1718,19624.502,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7924,0.1667,19686.611,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7922,0.1752,19693.521,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7898,0.1754,19776.34,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7862,0.1754,19900.568,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
-7831,0.1792,20007.546,p,vis,Nijland A A,,",,D,Lich,AN 239.277,",
