-18227,0.0592,19876.465,p,vis,Zinner E,,",,D,Lich,AN 195.459,",
-16286,0.057,22882.8,p,vis,Grouiller,,",,D,Lich,BLYN 5.61,",
-15853,0.0696,23553.469,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-15800,0.062,23635.551,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-15780,0.0558,23666.522,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-15607,0.042,23934.461,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-15518,0.0525,24072.32,p,vis,Gadomski J,,",,D,Lich,SAC 3.47,",
-15489,0.0525,24117.237,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-15467,0.0546,24151.314,p,vis,Lange G A,,",,D,Lich,MIRB 13,",
-15334,0.0622,24357.32,p,vis,Zessewitsch V P,,",,D,Lich,AC 27.9,",
-15330,0.0558,24363.509,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.74,",
-15254,0.0454,24481.212,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-15177,0.0582,24600.487,p,vis,Gadomski J,,",,D,Lich,AN 263.292,",
-15166,0.0698,24617.536,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-15097,0.0594,24724.397,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-14685,0.0661,25362.534,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-14678,0.0551,25373.365,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-14676,0.0504,25376.458,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-14598,0.0623,25497.281,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-14596,0.0616,25500.378,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-14419,0.0653,25774.53,p,vis,Mergentaler J,,",,D,Lich,AAC 1.93,",
-14397,0.0434,25808.583,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-14381,0.0597,25833.381,p,vis,Pagaczewski J,,",,D,Lich,AAC 1.94,",
-14352,0.0667,25878.305,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-14350,0.046,25881.382,p,vis,Nijland A A,,",,D,Lich,AN 242.11,",
-13663,0.0592,26945.462,p,vis,Warmbier E,,",,D,Lich,AAC 3.95,",
-13459,0.0607,27261.431,p,vis,Himpel K,,",,D,Lich,AN 261.255,",
-13253,0.0606,27580.496,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13235,0.0541,27608.369,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13233,0.0564,27611.469,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13224,0.0516,27625.404,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13222,0.0579,27628.508,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13215,0.0709,27639.363,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13213,0.0482,27642.438,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13204,0.0594,27656.389,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13202,0.0557,27659.483,p,vis,Lause F,,,",,D,Lich,AN 254.374,"
-13025,0.0595,27933.635,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-13018,0.0645,27944.482,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-13007,0.053,27961.508,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-12989,0.0635,27989.398,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-12980,0.0508,28003.325,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-12967,0.0546,28023.464,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-12965,0.0489,28026.556,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-12958,0.0629,28037.412,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-12947,0.0594,28054.446,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-12938,0.0567,28068.383,p,vis,Lause F,,,",,D,Lich,AN 259.191,"
-12741,0.0643,28373.516,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12739,0.0585,28376.608,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12732,0.0695,28387.461,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12694,0.0648,28446.313,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12674,0.0636,28477.289,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12537,0.0658,28689.485,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12519,0.0611,28717.3598,p,vis,Gadomski J,,",,D,Lich,RWAR 43.9,",
-12517,0.0606,28720.457,p,vis,Gadomski J,,",,D,Lich,BZ 19.44,",
-12497,0.0554,28751.429,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12479,0.0589,28779.312,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12477,0.0692,28782.42,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12448,0.0633,28827.331,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12441,0.0603,28838.17,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-12428,0.0551,28858.3,p,vis,Lause F,,,",,D,Lich,AN 266.19,"
-11699,0.0541,29987.418,p,pg,Gaposchkin S,,",,D,Lich,HA 113.74,",
-11107,0.059,30904.348,p,vis,Zessewitsch V P,,",,D,Lich,AC 27.9,",
-11089,0.0605,30932.229,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.74,",
-9850,0.035,32851.241,p,pg,Kurzemnietze I A,",,D,Lich,TRI 3.81,",,
-9695,0.0367,33091.316,p,pg,Kurzemnietze I A,",,D,Lich,TRI 3.81,",,
-9693,0.032,33094.409,p,pg,Kurzemnietze I A,",,D,Lich,TRI 3.81,",,
-9476,0.0234,33430.503,p,vis,Pocher E,,"D,0004,N,0279,geocentr,",
-9476,0.0274,33430.507,p,vis,Pocher E,,"M, 124,,,,",
-9474,0.0226,33433.6,p,vis,Pocher E,,"D,0004,N,0279,geocentr,",
-9474,0.0276,33433.605,p,vis,Pocher E,,"M, 124,,,,",
-9442,0.0341,33483.175,p,pg,Kaho S,,,",,D,Lich,BTOK 49.385,"
-9427,0.0352,33506.409,p,vis,Kurzemnietze I A,",,D,Lich,TRI 3.81,",,
-9201,0.0349,33856.451,p,vis,Busch Helmut,,"M, 243,,,,",
-9201,0.0369,33856.453,p,vis,Domke K,,,"D,0008,N,0281,,"
-8973,0.0578,34209.614,p,vis,Ashbrook J,,",,D,Lich,AJ 57.259,",
-8765,0.0279,34531.747,p,pe,Fitch W F,,",,D,Lich,AJ 69.316,",
-8537,0.0288,34884.888,p,pg,Koch,,,",,D,Lich,AJ 67.462,"
