-48337,-0.0026,28416.334,p,vis,Jacchia L,,",,D,Lich,AN 261.212,",
-41148,0.0019,30895.218,s,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.232,",
-41147,0.0031,30895.392,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.232,",
-40333,0.0036,31176.225,s,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.232,",
-40332,0.0068,31176.401,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.232,",
-30603,-0.0046,34530.868,p,pe,Fitch W S,,",,D,Lich,AJ 69.316,",
-29643,0.0044,34861.877,p,pg,Koch R H,,",,D,Lich,AJ 66.35,",
-26387,-0.0094,35984.505,p,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-26373,0.0165,35989.53,s,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-26167,-0.0016,36060.367,p,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-25944,-0.0011,36137.256,p,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-25686,0.0006,36226.386,s,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-25604,-0.0003,36254.486,p,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-25450,-0.0132,36307.571,p,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-25057,-0.0074,36443.252,s,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-25033,-0.0054,36451.357,p,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-25019,0.0065,36456.368,s,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-24670,-0.0028,36576.519,p,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-24625,-0.0034,36592.206,s,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-23568,0.0008,36956.483,p,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-23394,-0.014,37016.634,s,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-23214,0.0035,37078.542,p,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-23203,-0.0142,37082.489,s,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-22962,-0.006,37165.42,p,vis,Karetnikov V G,,",,D,Lich,PZ 14.348,",
-22948,0.0049,37170.43,s,vis,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-22931,-0.0005,37176.286,s,vis,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-22902,0.0075,37186.293,s,vis,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-22893,0.0054,37189.394,s,vis,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-22884,-0.0037,37192.316,p,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-22881,0.0019,37193.356,p,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-22873,-0.0014,37196.283,s,vis,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-22873,-0.0014,37196.283,s,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-22858,-0.0013,37201.283,p,vis,Karetnikov V G,,",,D,Lich,PZ 14.348,",
-22826,0.0083,37212.326,p,vis,Karetnikov V G,,",,D,Lich,PZ 14.348,",
-22681,0.0035,37262.488,s,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-22092,-0.0018,37465.565,s,pg,Karetnikov V G,,",,D,Lich,PZP 3.247,",
-22051,-0.0002,37479.531,p,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-21692,0.0026,37603.314,p,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-21478,0.0001,37677.097,p,vis,Fedotov J T,,"P,3.24,,,PZ 3.247,",
-20799,-0.0124,37911.37,s,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-20660,0.0065,37959.315,s,pg,Huth H,,,",,D,Lich,MVS 2.125,"
-18931,0.0047,38555.286,p,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-18876,0.0011,38574.418,s,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-15639,0.0014,39690.337,p,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-14711,0.0017,40010.476,s,vis,Diethelm Roger,,"B,..14,B,..14,Ori 109,",
-14595,-0.0011,40050.469,s,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-13075,0.0005,40574.382,p,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-13009,0.0002,40597.138,p,vis,Fedotov J T,,"P,3.24,,,PZ 3.247,",
-12672,-0.0016,40713.503,s,vis,Diethelm Roger,,"B,..24,B,..24,Ori 119,",
-12651,0.0058,40720.579,p,vis,Diethelm Roger,,"B,..24,B,..24,Ori 119,",
-12637,-0.0053,40725.567,s,vis,Diethelm Roger,,"B,..24,B,..24,Ori 119,",
-12620,-0.0067,40731.427,s,vis,Diethelm Roger,,"B,..24,B,..24,Ori 119,",
-12614,-0.0115,40733.491,s,vis,Diethelm Roger,,"B,..24,B,..24,Ori 119,",
-12608,0.0088,40735.408,p,vis,Diethelm Roger,,"B,..24,B,..24,Ori 119,",
-12608,0.0028,40735.574,s,vis,Diethelm Roger,,"B,..24,B,..24,Ori 119,",
-12593,0.0019,40740.573,p,vis,Locher Kurt,,"B,..24,B,..24,Ori 119,",
-12591,0.0003,40741.433,s,vis,Locher Kurt,,"B,..24,B,..24,Ori 119,",
-12588,0.0079,40742.475,s,vis,Locher Kurt,,"B,..24,B,..24,Ori 119,",
-12585,0.0145,40743.516,s,vis,Locher Kurt,,"B,..24,B,..24,Ori 119,",
-12565,0.0027,40750.4,s,vis,Diethelm Roger,,"B,..25,B,..25,Ori 120,",
-12556,0.0016,40753.502,s,vis,Diethelm Roger,,"B,..25,B,..25,Ori 120,",
-12527,-0.0054,40763.494,s,vis,Diethelm Roger,,"B,..25,B,..25,Ori 120,",
-12478,0.0168,40780.411,s,vis,Locher Kurt,,"B,..25,B,..25,Ori 120,",
-12449,-0.0001,40790.393,s,vis,Diethelm Roger,,"B,..25,B,..25,Ori 120,",
-12434,0.008,40795.401,p,vis,Diethelm Roger,,"B,..25,B,..25,Ori 120,",
-12434,0.013,40795.406,p,vis,Locher Kurt,,"B,..25,B,..25,Ori 120,",
-12434,-0.002,40795.563,s,vis,Locher Kurt,,"B,..25,B,..25,Ori 120,",
-12431,0.0126,40796.44,p,vis,Locher Kurt,,"B,..25,B,..25,Ori 120,",
-12422,-0.0025,40799.528,p,vis,Diethelm Roger,,"B,..25,B,..25,Ori 120,",
-12411,-0.0012,40803.494,s,vis,Diethelm Roger,,"B,..25,B,..25,Ori 120,",
-12333,-0.001,40830.388,s,vis,Diethelm Roger,,"B,..26,B,..26,Ori 121,",
-12292,-0.0094,40844.344,p,vis,Diethelm Roger,,"B,..26,B,..26,Ori 121,",
-12266,-0.008,40853.31,p,vis,Diethelm Roger,,"B,..26,B,..26,Ori 121,",
-11991,0.0023,40948.31,s,vis,Karetnikov V G,,"P,3.24,,,PZ 3.247,",
-11758,0.0008,41028.645,s,vis,Diethelm Roger,,"B,..29,B,..29,Ori 124,",
-11714,0,41043.643,p,vis,Locher Kurt,,"B,..29,B,..29,Ori 124,",
-11636,0.0102,41070.547,p,vis,Diethelm Roger,,"B,..30,B,..30,Ori 125,",
-11607,-0.0007,41080.535,p,vis,Diethelm Roger,,"B,..30,B,..30,Ori 125,",
-11584,0.0071,41088.473,p,vis,Locher Kurt,,"B,..30,B,..30,Ori 125,",
-11506,0.0023,41115.534,s,vis,Diethelm Roger,,"B,..30,B,..30,Ori 125,",
-11503,0.0049,41116.571,s,vis,Locher Kurt,,"B,..30,B,..30,Ori 125,",
-11462,0.0095,41130.54,p,vis,Locher Kurt,,"B,..31,B,..31,Ori 126,",
-11445,0,41136.564,s,vis,Diethelm Roger,,"B,..31,B,..31,Ori 126,",
-11428,0.0085,41142.434,s,vis,Diethelm Roger,,"B,..31,B,..31,Ori 126,",
-11425,0.0022,41143.462,s,vis,Meyer A,,,"B,..31,B,..31,Ori 126,"
-11410,-0.0037,41148.456,p,vis,Meyer A,,,"B,..31,B,..31,Ori 126,"
-11390,0.0075,41155.535,s,vis,Locher Kurt,,"B,..31,B,..31,Ori 126,",
-11370,0.0146,41162.438,s,vis,Locher Kurt,,"B,..31,B,..31,Ori 126,",
-11329,-0.0048,41176.383,p,vis,Diethelm Roger,,"B,..31,B,..31,Ori 126,",
-11315,-0.0069,41181.38,s,vis,Diethelm Roger,,"B,..31,B,..31,Ori 126,",
-11312,-0.0033,41182.418,s,vis,Meyer A,,,"B,..31,B,..31,Ori 126,"
-11260,0.0115,41200.362,s,vis,Peter H,,,"B,..32,B,..32,Ori 127,"
-11257,-0.0008,41201.384,s,vis,Meyer A,,,"B,..32,B,..32,Ori 127,"
-11257,0.0062,41201.391,s,vis,Diethelm Roger,,"B,..32,B,..32,Ori 127,",
-11228,-0.0098,41211.374,s,vis,Peter H,,,"B,..32,B,..32,Ori 127,"
-11216,0.0117,41215.361,p,vis,Peter H,,,"B,..33,B,..33,Ori 128,"
-11202,0.0046,41220.353,s,vis,Peter H,,,"B,..33,B,..33,Ori 128,"
-11164,0.0015,41233.28,p,vis,Locher Kurt,,"B,..32,B,..32,Ori 127,",
-11161,0.0112,41234.324,p,vis,Locher Kurt,,"B,..32,B,..32,Ori 127,",
-11158,-0.0092,41235.338,p,vis,Diethelm Roger,,"B,..33,B,..33,Ori 128,",
-11106,0.0056,41253.282,p,vis,Locher Kurt,,"B,..33,B,..33,Ori 128,",
-10766,-0.0016,41370.676,s,vis,Locher Kurt,,"B,0002,B,0002,,",
-10685,0.0133,41398.619,s,vis,Locher Kurt,,"B,0002,B,0002,,",
-10508,0.0012,41459.463,p,vis,Germann R,,"B,0003,B,0003,,",
-10471,0.0149,41472.406,s,vis,Peter H,,,"B,0003,B,0003,,"
-10468,0.0015,41473.427,s,vis,Diethelm Roger,,"B,0003,B,0003,,",
-10468,0.0165,41473.442,s,vis,Locher Kurt,,"B,0003,B,0003,,",
-10456,0.005,41477.396,p,vis,Germann R,,"B,0003,B,0003,,",
-10456,-0.009,41477.554,s,vis,Locher Kurt,,"B,0003,B,0003,,",
-10444,0.0065,41481.535,p,vis,Locher Kurt,,"B,0003,B,0003,,",
-10442,0.0139,41482.404,s,vis,Locher Kurt,,"B,0003,B,0003,,",
-10439,0.0016,41483.426,s,vis,Germann R,,"B,0003,B,0003,,",
-10439,0.0056,41483.43,s,vis,Peter H,,,"B,0003,B,0003,,"
-10427,-0.0009,41487.389,p,vis,Locher Kurt,,"B,0003,B,0003,,",
-10427,0.0041,41487.566,s,vis,Locher Kurt,,"B,0003,B,0003,,",
-10381,0.0116,41503.434,s,vis,Peter H,,,"B,0004,B,0004,,"
-10381,0.0186,41503.441,s,vis,Locher Kurt,,"B,0004,B,0004,,",
