-21290,0.0149,30573.393,s,pg,Ahnert P,,",,,,MVS 1.007,",
-21290,0.0269,30573.405,s,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21277,0.0615,30578.56,p,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21268,0.0237,30582.414,s,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21265,0.0097,30583.424,p,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21255,0.0332,30587.544,p,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21253,-0.0081,30588.322,p,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21251,0.0016,30589.356,s,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21248,0.0247,30590.403,p,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21212,0.0104,30605.341,s,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21209,0.0074,30606.362,p,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21204,0.0142,30608.417,p,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-21192,-0.0076,30613.311,p,pg,Hoffmeister C,,",,D,Lich,KVBB 28.87,",
-20191,0.0068,31023.383,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.236,",
-20191,0.0128,31023.594,s,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.236,",
-12487,-0.0561,34179.4533,s,pe,Fresa A,,,",,D,Lich,MSAI 25.127,"
-12482,-0.0568,34181.5009,s,pe,Fresa A,,,",,D,Lich,MSAI 25.127,"
-12372,-0.0567,34226.3572,p,pe,Fresa A,,,",,D,Lich,MSAI 25.127,"
-12345,-0.0567,34237.4177,p,pe,Fresa A,,,",,D,Lich,MSAI 25.127,"
-11666,-0.0612,34515.5642,p,pe,Kwee K K,,",,D,Lich,BAN 14.131,",
-11476,-0.063,34593.3956,p,pe,Kwee K K,,",,D,Lich,BAN 14.131,",
-9884,-0.0738,35245.7494,s,pe,Binnendijk L,,",,D,Lich,AJ 64.65,",
-9881,-0.0742,35246.7729,p,pe,Binnendijk L,,",,D,Lich,AA 12.185,",
-8876,-0.0764,35658.467,p,vis,Ashbrook J,,"A,0008,I,0119,normal min,",
-8842,-0.0884,35672.383,p,vis,Ashbrook J,,"A,0008,I,0119,normal min,",
-8800,-0.0796,35689.597,p,vis,Ashbrook J,,"A,0008,I,0119,normal min,",
-8119,-0.0864,35968.7655,s,pe,Binnendijk L,,",,D,Lich,AJ 64.65,",
-8082,-0.0868,35983.7171,p,pe,Binnendijk L,,",,D,Lich,AA 12.185,",
-8072,-0.0874,35987.8129,p,pe,Binnendijk L,,",,D,Lich,AJ 64.65,",
-8065,-0.1009,35990.667,p,vis,Ashbrook J,,"A,0008,I,0119,normal min,",
-8016,-0.0872,36010.7534,p,pe,Binnendijk L,,",,D,Lich,AJ 64.65,",
-8011,-0.0789,36012.81,p,vis,Ashbrook J,,"A,0008,I,0119,normal min,",
-7992,-0.0873,36020.7899,s,pe,Binnendijk L,,",,D,Lich,AA 12.185,",
-7987,-0.0881,36022.6323,p,pe,Binnendijk L,,",,D,Lich,AA 12.185,",
-7856,-0.0973,36076.287,p,pg,Karetnikov V G,,",,D,Lich,AC 223.22,",
-7077,-0.0945,36395.4056,p,pe,Purgathofer A,,",,D,Lich,MWIE 10,",
-7060,-0.0801,36402.384,p,pg,Karetnikov V G,,",,D,Lich,AC 223.22,",
-7055,-0.0938,36404.4186,p,pe,Purgathofer A,,",,D,Lich,MWIE 10,",
-6272,-0.1,36725.3717,s,pe,Purgathofer A,,",,D,Lich,MWIE 12,",
-6264,-0.0987,36728.4452,p,pe,Purgathofer A,,",,D,Lich,MWIE 12,",
-6259,-0.1152,36730.477,p,pg,Karetnikov V G,,",,D,Lich,AC 223.22,",
-6225,-0.1007,36744.4195,p,pe,Purgathofer A,,",,D,Lich,MWIE 12,",
-6198,-0.0997,36755.481,p,pe,Purgathofer A,,",,D,Lich,MWIE 12,",
-6198,-0.0907,36755.49,p,pg,Karetnikov V G,,",,D,Lich,AC 223.22,",
-6145,-0.101,36777.396,s,pg,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5207,-0.1209,37161.421,p,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5200,-0.1004,37164.309,p,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5198,-0.1087,37165.325,s,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5195,-0.1036,37166.354,p,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5156,-0.1199,37182.314,p,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5139,-0.1169,37189.281,p,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5122,-0.0849,37196.277,p,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5110,-0.1327,37201.35,s,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5103,-0.1073,37204.243,s,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-5083,-0.1182,37212.22,p,vis,Karetnikov V G,,",,D,Lich,AC 223.22,",
-4448,-0.1107,37472.354,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4443,-0.1209,37474.392,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4419,-0.1105,37484.439,s,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4409,-0.12,37488.321,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4407,-0.1113,37489.354,s,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4399,-0.1094,37492.428,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4394,-0.1037,37494.482,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4389,-0.1089,37496.525,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4387,-0.1152,37497.338,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4385,-0.1145,37498.363,s,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4382,-0.1075,37499.394,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4377,-0.1267,37501.423,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4370,-0.1092,37504.308,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4370,-0.1092,37504.513,s,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4265,-0.1123,37547.318,p,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-4246,-0.1106,37555.308,s,vis,Kiperman M E,,",,D,Lich,PZ 14.430,",
-3508,-0.1208,37857.413,p,vis,Kiperman M E,,",,D,Lich,PZ 15.219,",
-2607,-0.1357,38226.491,p,vis,Carbol K,,"C,0006,C,0006,,",
-2607,-0.1277,38226.499,p,vis,Carbol K,,"C,0006,C,0006,,",
-1802,-0.1312,38556.4671,s,pe,Schnell,,,",,D,Lich,MWIE 12,"
-1799,-0.1322,38557.49,p,pe,Schnell,,,",,D,Lich,MWIE 12,"
-1721,-0.1325,38589.4423,p,pe,Schnell,,,",,D,Lich,MWIE 12,"
-1719,-0.1358,38590.4633,s,pe,Schnell,,,",,D,Lich,MWIE 12,"
-12,-0.1442,39289.724,s,pe,Bookmyer B B,,",,D,Lich,AJ 74.1197,",
-11,-0.1441,39289.9288,p,pe,Bookmyer B B,,",,D,Lich,AJ 74.1197,",
0,-0.1408,39294.4382,p,pe,Minti H,,,"I,0148,I,0148,,"
8,-0.1449,39297.7113,p,pe,Bookmyer B B,,",,D,Lich,AJ 74.1197,",
8,-0.1442,39297.917,s,pe,Bookmyer B B,,",,D,Lich,AJ 74.1197,",
61,-0.1457,39319.4218,p,pe,Minti H,,,"I,0148,I,0148,SCA 13.183,"
1838,-0.154,40047.358,p,V,Gueduer N,,"I,0456,I,0456,,",
1843,-0.1546,40049.4057,p,V,Kurutac M,,"I,0456,I,0456,,",
2744,-0.16,40418.4931,p,V,Baumbach H,,"I,0456,I,0456,,",
2783,-0.1814,40434.448,p,vis,Ralincourt Ph,,"G,,G,,,",
3725,-0.1688,40820.349,p,V,Dumitrescu Al,,"I,0508,I,0508,,",
3788,-0.162,40846.3686,s,pe,Sengonca H,,"I,0530,I,0530,,48 cm",
3805,-0.1666,40853.328,s,pe,Meier M,,,"I,0530,I,0530,,34 cm"
4456,-0.1687,41119.8018,p,pe,Niehaus R J,,"I,0844,I,0844,,",
4456,-0.1635,41119.807,p,pe,Kaitchuck R H,,",,D,Lich,AVSJ 3.3,",
4495,-0.1668,41135.78,p,pe,Kaitchuck R H,,",,D,Lich,AVSJ 3.3,",
4496,-0.1762,41136.3852,s,pe,Karacan H,,"I,0647,I,0647,,48 cm",
4504,-0.1772,41139.4564,p,pe,Guelmen O,,"I,0647,I,0647,,48 cm",
4519,-0.1663,41145.817,s,pe,Niehaus R J,,"I,0844,I,0844,,",
4568,-0.1671,41165.684,p,pe,Kaitchuck R H,,",,D,Lich,AVSJ 3.3,",
5334,-0.1712,41479.4702,p,B,Akinci R,,"I,0937,I,0937,,",
5334,-0.171,41479.4704,p,V,Akinci R,,"I,0937,I,0937,,",
5427,-0.1917,41517.547,p,vis,Gough T T,,"R,0001,R,0001,JBAA 83.454,",
5466,-0.183,41533.532,p,vis,Currie M J,,"R,0001,R,0001,JBAA 83.454,",
5478,-0.1747,41538.456,p,vis,Gough T T,,"R,0001,R,0001,JBAA 83.454,",
5478,-0.1517,41538.479,p,vis,Currie M J,,"R,0001,R,0001,JBAA 83.454,",
5480,-0.14,41539.515,s,vis,Currie M J,,"R,0001,R,0001,JBAA 83.454,",
5483,-0.184,41540.495,p,vis,Currie M J,,"R,0001,R,0001,JBAA 83.454,",
5483,-0.174,41540.505,p,vis,Gough T T,,"R,0001,R,0001,JBAA 83.454,",
6204,-0.1736,41835.8616,p,pe,Scarfe C D,,"I,0844,0,GCVS,,",
6223,-0.1737,41843.8498,s,pe,Scarfe C D,,"I,0844,I,0844,,",
6227,-0.1731,41845.489,s,V,Schellemann H,,"I,0937,I,0937,,",
6240,-0.1736,41850.6089,p,pe,Bookmyer B B,,",,D,Lich,PASP 88.473,",
6242,-0.1735,41851.4283,p,V,Ibanoglu C,,"I,0937,I,0937,,",
6242,-0.1741,41851.6327,s,pe,Bookmyer B B,,",,D,Lich,PASP 88.473,",
6243,-0.1734,41851.8381,p,pe,Bookmyer B B,,",,D,Lich,PASP 88.473,",
6259,-0.174,41858.5968,s,pe,Bookmyer B B,,",,D,Lich,PASP 88.473,",
6267,-0.174,41861.669,p,pe,Bookmyer B B,,",,D,Lich,PASP 88.473,",
6269,-0.1739,41862.6934,s,pe,Bookmyer B B,,",,D,Lich,PASP 88.473,",
6272,-0.1734,41863.7179,p,pe,Bookmyer B B,,",,D,Lich,PASP 88.473,",
6279,-0.174,41866.5848,p,pe,Bookmyer B B,,",,D,Lich,PASP 88.473,",
6306,-0.1735,41877.8508,s,pe,Barlow D J,,"I,0844,I,0844,,",
6349,-0.1712,41895.468,s,V,Schellemann H,,"I,0937,I,0937,,",
6387,-0.1798,41910.821,p,vis,Gough T T,,"R,0002,R,0002,JBAA 85.446,",
6488,-0.1842,41952.396,s,vis,Brown A,,,"R,0002,R,0002,JBAA 85.446,"
7077,-0.1751,42193.4828,p,V,Bode G,,,"I,1053,I,1053,,"
7102,-0.1761,42203.723,p,pe,Kaitchuck,,",,D,Lich,PASP 88.473,",
7131,-0.1761,42215.8078,s,V,Barlow D J,,"I,1379,I,1379,,",
7134,-0.1758,42216.832,p,V,Baldwin B W,,"I,1379,I,1379,,",
7155,-0.1934,42225.417,p,V,Dinescu R,,"I,0931,I,0931,,",
7167,-0.1933,42230.3329,p,V,Minti H,,,"I,0931,I,0931,,"
