-6729,0.0071,51274.913,p,V,Otero Sebastian,,"I,5557,,,,",
-723,0.0056,53229.439,s,vis,Locher Kurt,,"E,0003,,,,",
-713,-0.0034,53232.521,p,vis,Locher Kurt,,"E,0003,,,,",
-701,-0.0002,53236.429,p,vis,Locher Kurt,,"E,0003,,,,",
-661,-0.0023,53249.606,s,vis,Locher Kurt,,"E,0003,,,,",
-646,0.0007,53254.327,p,vis,Locher Kurt,,"E,0003,,,,",
-625,-0.0007,53261.322,s,vis,Locher Kurt,,"E,0003,,,,",
-624,0.0028,53261.488,p,vis,Locher Kurt,,"E,0003,,,,",
-496,-0.0016,53303.298,s,vis,Locher Kurt,,"E,0003,,,,",
-264,-0.0029,53378.627,p,vis,Locher Kurt,,"E,0003,,,,",
-7,-0.0044,53462.4168,s,-Ir,Raetz Manfred,,"D,0178,I,5731,,",
0,-0.004,53464.532,p,vis,Locher Kurt,,"E,0003,,,,",
1226,-0.0029,53863.476,p,-Ir,Raetz Manfred,,"D,0186,I,5802,,ST-6",
4477,-0.0004,54921.5234,s,-U-I,Raetz M,,,"D,0214,I,5959,,ST-6"
5670,-0.0004,55309.5649,p,-Ir,Raetz Manfred,,"D,0220,I,6010,,G2",
6684,0.0023,55639.5253,p,V,Rivero C,,"A,e151,,,,",
6817,0.0037,55682.8051,p,R,Nelson Robert,,"I,6018,,,,ST-7XE",
9981,0.0024,56712.5388,s,V,Raetz M,,,"D,0241,I,6157,,G2-1600"
9982,0.0026,56712.7014,p,V,Raetz M,,,"D,0241,I,6157,,G2-1600"
10165,0.0035,56772.4138,s,V,Raetz M,,,"D,0241,I,6157,,G2-1600"
10166,0.0036,56772.5763,p,V,Raetz M,,,"D,0241,I,6157,,G2-1600"
11109,0.0036,57079.5934,s,V,Raetz M,,,"D,0244,I,6196,,G2-1600"
11176,0.0037,57101.3955,s,I,Vrastak M.,,"C,0040,E,0179,,0,24-m f/5 R",
11176,0.0041,57101.3958,s,R,Vrastak M.,,"C,0040,E,0179,,0,24-m f/5 R",
11176,0.0041,57101.3959,s,V,Vrastak M.,,"C,0040,E,0179,,0,24-m f/5 R",
11235,0.0044,57120.4319,p,V,Raetz M,,,"D,0244,I,6196,,G2-1600"
12369,0.0058,57489.4391,p,V,RATRCR,,,"D,0247,I,6244,,1600"
12369,0.0051,57489.6014,s,V,RATRCR,,,"D,0247,I,6244,,1600"
13399,0.01,57824.6074,p,V,Raetz Manfred,,"D,0031,,,,G2-1600",
13460,0.0104,57844.4573,p,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
13460,0.0103,57844.6202,s,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
14643,0.0136,58229.4111,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
14643,0.0127,58229.5732,s,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
16852,0.0159,58948.3894,s,-Ir,Agerer Franz,,"D,0052,,,,S1603",
16853,0.0156,58948.5515,p,-Ir,Agerer Franz,,"D,0052,,,,S1603",
