-42481,-0.0347,33005.625,s,pe,Koch R H,,",,D,Lich,AJ 61.47,",
-42467,-0.0201,33009.617,s,vis,Ashbrook J,,",,D,Lich,AJ 57.63,",
-42460,-0.0328,33011.5931,s,pe,Koch R H,,",,D,Lich,AJ 61.47,",
-37493,-0.025,34422.598,p,vis,Ashbrook J,,",,D,Lich,AJ 58.171,",
-34772,-0.0042,35195.6628,p,pe,Koch R H,,",,D,Lich,AJ 61.47,",
-33757,0.0023,35484.0337,p,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-33652,0.003,35513.8652,p,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-33638,0.0034,35517.843,p,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-33638,0.0032,35517.9848,s,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-33578,0.0034,35534.8892,p,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-33571,0.0037,35536.8782,p,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-33474,0.0039,35564.4364,p,pe,Hinderer F,,",,D,Lich,JO 43.161,",
-33450,0.0048,35571.3978,s,pe,Hinderer F,,",,D,Lich,JO 43.161,",
-33438,0.0044,35574.6646,p,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-33432,0.0069,35576.3717,p,pe,Hinderer F,,",,D,Lich,JO 43.161,",
-33368,0.0047,35594.6941,s,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-31077,0.0318,36245.459,p,pg,Huth Herbert,,"M,0002,,,MVS 2.125,",
-30975,-0.0027,36274.403,p,pg,Huth Herbert,,"M,0002,,,MVS 2.125,",
-30957,0.0315,36279.551,p,pg,Huth Herbert,,"M,0002,,,MVS 2.125,",
-30897,0.0155,36296.5812,p,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-30894,0.0156,36297.5756,s,pe,Koch R H,,",,D,Lich,AJ 65.378,",
-30859,0.0354,36307.397,p,pg,Huth Herbert,,"M,0002,,,MVS 2.125,",
-28444,0.0259,36993.496,p,pg,Huth Herbert,,"M,0002,,,MVS 2.125,",
-28283,0.0283,37039.381,s,pg,Huth Herbert,,"M,0002,,,MVS 2.125,",
-27304,0.0126,37317.502,s,pg,Huth Herbert,,"M,0002,,,MVS 2.125,",
-27135,0.0212,37365.382,p,vis,Lichtenknecker D,"D,0015,D,Lich,,",,
-27128,0.0275,37367.377,p,vis,Lichtenknecker D,"D,0015,D,Lich,,",,
-27096,0.0242,37376.465,p,vis,Lichtenknecker D,"D,0015,D,Lich,,",,
-25970,0.0213,37696.504,s,pg,Huth Herbert,,"M,0002,,,MVS 2.125,",
-19433,-0.0293,39553.492,p,vis,Locher Kurt,,"B,...7,B,...7,,",
-19370,-0.026,39571.3938,p,pe,Tempesti,,",,D,Lich,AAS 2.135,",
-19370,-0.0266,39571.5352,s,pe,Tempesti,,",,D,Lich,AAS 2.135,",
-19236,-0.0236,39609.466,p,vis,Locher Kurt,,"B,...7,B,...7,,",
-18444,-0.0331,39834.608,s,vis,Locher Kurt,,"B,0000,B,0000,,",
-18071,-0.0332,39940.4363,p,pe,Tempesti,,",,D,Lich,AAS 2.135,",
-18071,-0.0315,39940.58,s,pe,Tempesti,,",,D,Lich,AAS 2.135,",
-14322,-0.0362,41005.5351,p,pe,Gehlich U,,",,D,Lich,AAP 18.477,",
-14288,-0.0373,41015.3355,s,pe,Gehlich U,,",,D,Lich,AAP 18.477,",
-14263,-0.0352,41022.2981,p,pe,Gehlich U,,",,D,Lich,AAP 18.477,",
-14263,-0.0366,41022.4387,s,pe,Gehlich U,,",,D,Lich,AAP 18.477,",
-14122,-0.0347,41062.3571,p,pe,Gehlich U,,",,D,Lich,AAP 18.477,",
-14104,-0.0341,41067.4716,p,pe,Gehlich U,,",,D,Lich,AAP 18.477,",
-10640,-0.0186,42051.6196,p,V,Burchi R,,"I,0964,I,2181,,",
-10472,-0.0198,42099.4896,s,V,Burchi R,,"I,0964,I,2181,,",
-9201,-0.0062,42460.456,p,vis,Diethelm Roger,,"B,0021,B,0021,,",
-8962,-0.0058,42528.499,s,vis,Diethelm Roger,,"B,0058,B,0058,,",
-7860,-0.0047,42841.4395,p,pe,Edersberger J,,"I,1358,I,2181,,",
-6620,0.0007,43193.7325,p,pe,Hilditch R W,,"I,2181,,,,",
-6620,0.0022,43193.876,s,pe,Hilditch R W,,"I,2181,,,,",
-6603,0.0014,43198.705,s,pe,Hilditch R W,,"I,2181,,,,",
-6602,0.0008,43198.8465,p,pe,Hilditch R W,,"I,2181,,,,",
-6590,0.0071,43202.404,s,vis,Lichtenknecker D,"D,0029,D,Lich,,",,
-6586,0.0037,43203.395,p,vis,Lichtenknecker D,"D,0029,D,Lich,,",,
-6555,-0.0035,43212.337,s,vis,Diethelm Roger,,"B,0033,B,0033,,",
-6548,0.0278,43214.357,s,vis,Lichtenknecker D,"D,0029,D,Lich,,",,
-6527,0.0076,43220.303,s,vis,Diethelm Roger,,"B,0033,B,0033,,",
-6484,0.0072,43232.377,p,vis,Lichtenknecker D,"D,0029,D,Lich,,",,
