-13194,-0.0004,9453.4192,p,pg,GCVS,,,"0,GCVS,0,GCVS,,"
-12928,0.0161,10250.46,p,vis,Chandler S C,,",,D,Lich,AJ 7.40,",
-12924,0.0108,10262.44,p,vis,Sawyer E F,,",,D,Lich,AJ 7.116,",
-12924,0.0208,10262.45,p,vis,Chandler S C,,",,D,Lich,AJ 7.40,",
-12922,0.0131,10268.435,p,vis,Sawyer E F,,",,D,Lich,AJ 7.116,",
-12922,0.0231,10268.445,p,vis,Chandler S C,,",,D,Lich,AJ 7.40,",
-12921,0.0191,10271.4373,p,pe,Harmanec P,,",,,,ph-1403.0721,",
-12921,0.0191,10271.4373,p,pe,Harmanec P,,",,,,ph-1403.0721,",
-12921,0.0191,10271.4373,p,pe,Harmanec P,,",,,,ph-1403.0721,",
-12920,0.0054,10274.42,p,vis,Chandler S C,,",,D,Lich,AJ 7.47,",
-12920,0.0354,10274.45,p,vis,Sawyer E F,,",,D,Lich,AJ 7.116,",
-12917,0.0234,10283.427,p,vis,Chandler S C,,",,D,Lich,AJ 7.47,",
-12917,0.0464,10283.45,p,vis,Sawyer E F,,",,D,Lich,AJ 7.116,",
-12733,0.0724,10834.801,p,vis,Chandler S C,,",,D,Lich,AJ 8.130,",
-12719,0.0657,10876.743,p,vis,Chandler S C,,",,D,Lich,AJ 8.130,",
-12718,0.0846,10879.7582,p,pe,Harmanec P,,",,,,ph-1403.0721,",
-12718,0.0846,10879.7582,p,pe,Harmanec P,,",,,,ph-1403.0721,",
-12718,0.0846,10879.7582,p,pe,Harmanec P,,",,,,ph-1403.0721,",
-12714,0.08,10891.739,p,vis,Yendell P S,,",,D,Lich,AJ 9.22,",
-12708,0.1041,10909.741,p,vis,Yendell P S,,",,D,Lich,AJ 9.22,",
-12704,0.1297,10921.752,p,vis,Yendell P S,,",,D,Lich,AJ 9.22,",
-12460,-0.0213,11652.706,p,vis,Yendell P S,,",,D,Lich,AJ 10.132,",
-12452,0.0151,11676.713,p,vis,Yendell P S,,",,D,Lich,AJ 10.132,",
-12449,-0.0169,11685.67,p,vis,Yendell P S,,",,D,Lich,AJ 10.132,",
-12447,-0.0356,11691.644,p,vis,Yendell P S,,",,D,Lich,AJ 10.132,",
-12399,0.0855,11835.589,p,vis,Duner N C,,",,D,Lich,AN 129.313,",
