-19054,-0.0879,5242.394,s,vis,Ristenpart F,,",,D,Lich,AN 179.130,",
-11455,0.1518,18054.419,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-11426,0.161,18103.325,p,vis,Luizet M,,",,D,Lich,AN 178.302,",
-11420,0.1545,18113.435,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-11417,0.1622,18118.501,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-10789,0.1572,19177.363,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-10633,0.1635,19440.4,p,vis,Lehnert R,,"N,0200,P,11,4,AN 192.201,",
-10627,0.1619,19450.515,p,vis,Lehnert R,,"N,0200,P,11,4,AN 192.201,",
-10614,0.1617,19472.434,p,vis,Lehnert R,,"N,0200,P,11,4,AN 192.201,",
-10582,0.1627,19526.39,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-10579,0.1604,19531.446,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-10423,0.1598,19794.476,p,vis,Lehnert R,,"N,0200,P,11,4,AN 200.164,",
-10343,0.1582,19929.362,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-10155,0.1566,20246.346,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-9961,0.1573,20573.449,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-9945,0.1578,20600.427,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-9706,0.1604,21003.406,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-9502,0.1632,21347.372,p,vis,Luizet M,,",,D,Lich,BA 34.169,",
-9346,0.1635,21610.403,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9336,0.1596,21627.26,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9327,0.1667,21642.442,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9318,0.1629,21657.613,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9314,0.1655,21664.36,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9276,0.1639,21728.43,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9162,0.1622,21920.643,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9069,0.1595,22077.447,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9063,0.1649,22087.569,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-9056,0.1613,22099.368,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-8935,0.1699,22303.394,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-8932,0.1726,22308.455,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-8916,0.1651,22335.425,p,vis,Nijland A A,,",,D,Lich,AN 211.366,",
-8900,0.1676,22362.405,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8894,0.164,22372.518,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8891,0.1688,22377.581,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8890,0.1687,22379.267,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8888,0.1655,22382.636,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8859,0.1647,22431.532,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8697,0.1625,22704.677,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8674,0.1724,22743.467,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8665,0.1635,22758.633,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8645,0.1776,22792.369,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8512,0.1661,23016.608,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8505,0.1715,23028.416,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8311,0.1672,23355.514,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8244,0.1709,23468.486,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8228,0.1674,23495.46,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8225,0.1771,23500.528,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8215,0.1642,23517.376,p,vis,Zessewitsch V P,,",,D,Lich,IODE 4.2.169,",
-8199,0.1587,23544.348,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8069,0.1625,23763.544,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8040,0.1608,23812.439,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8037,0.1595,23817.496,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8024,0.1593,23839.415,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8021,0.159,23844.473,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8018,0.1587,23849.531,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-8014,0.1783,23856.295,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
-7843,0.1612,24144.6,p,vis,Nijland A A,,",,D,Lich,AN 234.134,",
