0,-0.005,48500.296,p,V,Hipparcos,,"0,Hipp,0,Hipp,,",
7485,0.0184,51318.871,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
7598,0.0228,51361.4267,p,B,Keskin Varol,,"I,4855,I,4855,,",
7598,0.0229,51361.4268,p,V,Keskin Varol,,"I,4855,I,4855,,",
7616,0.0257,51368.3957,s,V,Keskin Varol,,"I,4855,I,4855,,",
7616,0.0258,51368.3958,s,R,Keskin Varol,,"I,4855,I,4855,,",
7616,0.0258,51368.3958,s,B,Keskin Varol,,"I,4855,I,4855,,",
7622,0.0239,51370.4652,p,R,Keskin Varol,,"I,4855,I,4855,,",
7622,0.0239,51370.4652,p,V,Keskin Varol,,"I,4855,I,4855,,",
7622,0.0242,51370.4655,p,B,Keskin Varol,,"I,4855,I,4855,,",
7627,0.0243,51372.3484,p,R,Keskin Varol,,"I,4855,I,4855,,",
7627,0.0245,51372.3486,p,B,Keskin Varol,,"I,4855,I,4855,,",
7627,0.0245,51372.3486,p,V,Keskin Varol,,"I,4855,I,4855,,",
9229,0.0321,51975.6053,p,V,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
9229,0.0324,51975.6056,p,B,Pribulla Theodor,"I,5056,,,,60cm, Stara",,
10230,0.0368,52352.5466,p,UBV,Pribulla Theodor,"I,5341,,,,Stara Lesna",,
10356,0.0352,52400.1796,s,V,Karska Agatha,,"I,5390,,,,",
10357,0.0324,52400.3653,p,V,Karska Agatha,,"I,5390,,,,",
10540,0.0378,52469.4692,s,BVR,Demircan O,,"I,5364,I,5364,,",
10548,0.0332,52472.2891,p,BVRI,Petropoulou M,,"I,6153,,,,1.0m+CH250",
10548,0.0332,52472.2891,p,BVRI,Petropoulou M,,"I,6153,,,,1.0m+CH250",
10551,0.0334,52473.419,p,BVRI,Petropoulou M,,"I,6153,,,,1.0m+CH250",
10551,0.0334,52473.419,p,BVRI,Petropoulou M,,"I,6153,,,,1.0m+CH250",
10551,0.0384,52473.424,p,BVR,Demircan O,,"I,5364,I,5364,,",
11204,0.0401,52719.3193,p,V,Nakajima Kazuhir,"W,0932,J,0042,,",,
11324,0.0411,52764.5075,p,-Ir,Agerer Franz,,"D,0172,I,5643,,",
11382,0.0424,52786.3493,p,UBV,Ak Hassan,,"I,5462,,,,",
11401,0.0415,52793.5031,p,UBV,Filiz N,,,"I,5462,,,,"
11401,0.0419,52793.5035,p,-Ir,Agerer Franz,,"D,0172,I,5643,,",
11456,0.0392,52814.3996,s,UBV,Filiz N,,,"I,5462,,,,"
11456,0.04,52814.4004,s,UBV,Tanriverdi T,,"I,5471,,,,",
12141,0.0386,53072.3426,s,V,Nakajima Kazuhir,"W,1258,J,0043,,",,
12146,0.0416,53074.2284,s,V,Nakajima Kazuhir,"W,1258,,,,",,
12350,0.0413,53151.0463,s,V,Nakajima Kazuhir,"W,1325,J,0043,,",,
13168,0.0397,53458.8828,p,V,Dvorak S W,,"I,5677,,,,",
13188,0.0398,53466.4141,p,BV,Pribulla Theodor,"I,5668,,,,G2",,
14137,0.0361,53823.7658,p,V,Petriew V,,"A,e151,,,,",
14169,0.0311,53835.8107,p,V,Petriew V,,"A,e151,,,,",
14275,0.0349,53875.7299,p,V,Petriew V,,"A,e151,,,,",
14391,0.0353,53919.4113,p,ccd,Jungbluth Helmut,"D,0178,I,5731,,",,
14423,0.0339,53931.4598,p,ccd,Jungbluth Helmut,"D,0178,I,5731,,",,
15133,0.0305,54198.814,p,V,Petriew V,,",,,,JAAVSO-44,",
15140,0.0306,54201.45,p,-Ir,Schmidt U,,"D,0186,I,5802,,ST-7",
15140,0.0266,54201.634,s,-Ir,Schmidt U,,"D,0186,I,5802,,ST-7",
15201,0.0258,54224.4154,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/180mm",
15257,0.0278,54245.5048,p,ccdR,Dreveny R,,"C,0034,E,0074,,Sonnar 180/2",
15257,0.0281,54245.5051,p,ccdV,Dreveny R,,"C,0034,E,0074,,Sonnar 180/2",
15294,0.0294,54259.439,p,-Ir,Jungbluth Hans,,"D,0186,I,5802,,ST-7",
15397,0.0283,54298.4116,s,ccd,Dubovsky Pavol,,"I,5898,,,,70/400mm",
15403,0.0274,54300.4821,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/400mm",
15424,0.0268,54308.3892,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/180mm",
15934,0.0242,54500.6202,s,ccd,Dubovsky Pavol,,"I,5898,,,,70/400mm",
15945,0.0242,54504.5744,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/400mm",
15969,0.0248,54513.6124,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/400mm",
16092,0.0365,54560.129,s,vis,Maeda Yutaka,,"J,0048,,,,10B",
16103,0.0241,54564.2588,s,B,Nakajima Kazuhir,"J,0048,,,,25SC+CV-04",,
16210,0.0228,54604.3614,p,BV,Aydin G,,,"I,5887,,,,"
16213,0.0227,54605.491,p,BV,Celik L,,,"I,5887,,,,"
16274,0.0266,54628.465,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/400mm",
16284,0.0217,54632.4137,s,ccd,Dubovsky Pavol,,"I,5898,,,,70/400mm",
16327,0.0223,54648.4184,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/400mm",
16327,0.0233,54648.4194,p,ccd,Jungbluth H,,"D,0203,I,5889,,ST-7",
16433,0.023,54688.3345,p,BV,Caliskan S,,"I,5887,,,,",
17078,0.0195,54931.4002,s,-Ir,Frank Peter,,"D,0209,I,5918,,Sig 1603",
17079,0.0183,54931.5875,p,-Ir,Frank Peter,,"D,0209,I,5918,,Sig 1603",
17150,0.0198,54958.5128,s,ccd,Schmidt U,,"D,0209,I,5918,,ST-7",
17217,0.0168,54983.7393,s,V,Diethelm Roger,,"I,5894,,,,",
17307,0.0152,55017.4401,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/180mm",
17828,0.0162,55213.6289,p,R,Parimucha Stefan,"I,5980,,,,lens+MeadeDS",,
17844,0.0149,55219.6525,p,R,Parimucha Stefan,"I,5980,,,,lens+MeadeDS",,
17956,0.0147,55261.8271,p,V,Dvorak Shawn,,"I,5974,,,,25cm+ST-9",
17963,0.0139,55264.4622,p,R,Parimucha Stefan,"I,5980,,,,lens+MeadeDS",,
17972,0.0196,55267.8569,p,V,Diethelm Roger,,"I,5945,,,,Astrokolchoz",
18087,0.0139,55311.3436,s,R,Parimucha Stefan,"I,5980,,,,lens+StarLig",,
18088,0.0126,55311.5309,p,R,Parimucha Stefan,"I,5980,,,,lens+StarLig",,
18194,0.0119,55351.4455,p,-Ir,Raetz Manfred,,"D,0220,I,6010,,G2",
18202,0.0118,55354.4579,p,R,Parimucha Stefan,"I,5980,,,,lens+StarLig",,
18377,0.0124,55420.3565,p,R,Parimucha Stefan,"I,5980,,,,lens+StarLig",,
18994,0.0124,55652.882,s,V,Diethelm Roger,,"I,5992,,,,",
19028,0.0084,55665.4931,p,V,Parimucha S,,"I,6044,,,,K1-M",
19134,0.0085,55705.4085,p,-Ir,Agerer Franz,,"D,0220,I,6010,,Sigma 403",
19322,0.0066,55776.3879,s,R,Cagas P.,,"C,0038,E,0160,,25cm+G2",
19883,0.0048,55987.6363,s,V,Parimucha S,,"I,6044,,,,K1-G",
19896,0.0043,55992.5311,s,V,Parimucha S,,"I,6044,,,,K1-G",
19931,0.0045,56005.5229,p,V,Parimucha S,,"I,6044,,,,K1-G",
19947,0.0042,56011.5475,p,V,Parimucha S,,"I,6044,,,,K1-G",
20009,0.0012,56034.8912,p,V,Diethelm Roger,,"I,6029,,,,Astrokolchoz",
20313,0.0029,56149.3672,p,V,Parimucha S,,"I,6044,,,,K1-G",
20445,0.0027,56199.2609,s,V,Parimucha S,,"I,6044,,,,K1-G",
21330,-0.0006,56532.3252,p,BVRI,Basak Esmer,,"I,6125,,,,",
21330,-0.0006,56532.3252,p,BVRI,Basak Esmer,,"I,6125,,,,",
