ime1,T033,T033_e,P33,P33_e,EE,EE_e,ASINI,ASINI_e,WWW,WWW_e,Y,Y_e,Masaz,Masaz_e,P2
ADAnd,51420.024314081114,0.12998114702133637,4464.56010673335,24.650356131991533,0.191632989240179,0.03041655115213092,470873784.1704712,6767156.879944111,2.351552689568141,0.03439636910187661,-0.01614327736929263,0.0002664943008421784,1.3200229131782768,0.025938310873150357,0.986194
AOCam,58817.161245758194,4904.392972613612,33533.68198450637,6853.357227172338,0.25074506271856994,0.12995361996227525,1303045919.4151812,373165744.39863163,6.049750148701132,1.0811339340683754,0.006535578231806564,0.013898304286032944,0.8628616166552667,0.17519803474551,0.329903
APLeo,40483.158000028074,1107.3583553432577,17698.852148887163,1074.4389701273803,0.38296872809310456,0.10897104739188485,922065440.3959599,84035234.18143138,3.4911191262008057,0.2762287187787837,0.040778586321019016,0.003269285040302382,0.9548187202334708,0.08635979495584535,0.430358
ARLac,47909.86245820732,211.37787312945582,50106.894906684945,1800.5090549399943,0.49714710342853086,0.032682628853515354,3429850125.245714,71499629.32574204,6.283185307179585,0.026517295425483048,-0.11578668851129227,0.0020052726231694082,2.2676123339910528,0.07551906580216018,1.983212
AYVul,51483.61470303309,1311.5038826545003,43734.59514117876,269.05392756510156,0.3242792578701418,0.14010582732731922,2134009531.463407,386044876.9144893,4.94671886474258,0.20423145786777708,0.03078150017265009,0.01642382491208914,1.3019540282511055,0.3295798513377833,2.4124255
BCHer,37706.4280083322,5331.882159093462,39456.51850346037,5019.907998494173,9.305147796030463e-25,0.1213316625645578,5798067273.601625,640883392.8362379,4.477205906246273,0.8214930932648408,-0.15359652409127125,0.024513864314221742,7.852337174107788,1.1844368509619763,3.087343
BEVul,61268.85676591107,1130.216327769809,31763.295781582518,5474.972057077272,0.9834991101773755,0.21316514919272794,2250113712.7876477,405506460.923739,4.3635229775639415,0.545822600394247,-0.07423772042279603,0.015780675292363867,1.897705364253108,0.3815463678454118,1.552048
BKVul,51460.922524229696,1370.7123940924666,27392.36526910267,4793.88842193932,0.4138800591111762,0.17918707592345542,817301868.0199273,296088644.55315346,4.667044289830709,0.6777535710831941,-0.007817689255636941,0.007408868259445958,0.5774665731762155,0.6174403376856215,0.453463
BOGem,49682.38181738758,1839.2824377783434,35801.48083381147,3919.9773068187237,0.28667867561946564,0.08590984445870574,5883714656.684094,552789735.2305424,2.8298538690038826,0.5793402582481729,0.18767630815363012,0.01756277336431159,9.334348133603854,8.872338893939997,4.068708
BOPeg,35229.21937196475,689.6652801341064,47009.91039648691,2435.318550785893,0.6951694232912511,0.08750020706818176,2642411256.0860777,378664629.19294477,5.371010657281678,0.1488324543817307,0.02458141931326024,0.006479105422181587,1.639279939507059,0.3297965013830897,0.580428
CCHer,39917.30442804656,586.5889008500255,30403.429824015686,633.9545775658399,0.25664347097396834,0.04057533335754756,2253188074.641402,27131344.289185576,6.180550158441709,0.1356268485290689,0.07655247899525068,0.0010659301831724636,1.9859773813124793,0.05477764373971343,1.734029
DKPeg,16051.493666949087,6002.416676395523,52552.01980256791,7965.01269694325,0.3089047817957644,0.21149205021137737,3827012782.5430765,500978295.9588592,3.8883207963506736,0.2277834803136009,0.1232061449924566,0.014856090480354954,2.5628807945093746,1.116139682432219,1.631829
EFDra,58210.676504054405,555.4276666895656,30064.99278412632,1222.2293705399638,0.365993959493676,0.012362282798553312,2850638060.3126755,177390698.59657654,2.8825195232655103,0.15807761591811317,-0.04061923833546706,0.0061680749617495055,2.908132786856688,0.3342703654728201,0.424031
EWLyr,48004.83276108589,687.9237113406786,15627.228313810774,146.8320956844329,0.108376650065887,0.03586401796156548,984597681.754126,9998854.607022291,4.840385049652174,0.2831584660570755,-0.008272195455671838,0.0006051039515297599,1.1580201701537245,0.020725814580835895,1.948741
EZHya,41437.13826312674,399.83842576402145,22860.6709340396,599.2568744858098,0.6050867183094366,0.20292812531687288,1226164209.348169,193375067.99385744,4.591509285228529,0.23352833746726354,-0.06873801482985953,0.005832627047090743,1.1070152284436268,0.275240539202586,0.449751
FGHya,44341.494501132525,1083.2769832773208,13501.278423008513,2564.2614824128736,0.18620973685046002,0.3316442169947938,942422365.0085863,387395501.8264636,3.103040502902712,0.6233381428158781,0.037038505019736004,0.015772594930697215,1.243991759422128,0.7048176632358719,0.3278324
FKOri,52994.10006289848,2343.8213951753537,35681.169446641106,8156.370831319416,3.841362631314408e-19,0.3666376181839755,2914886044.9930925,2437616538.9319715,4.056223186180721,0.8794652473628292,0.05064720059572562,0.008978853058719974,2.5057915964916244,21.77752576201595,1.947496
FZOri,30590.629660836654,4.16066625533803,25068.47242784815,1644.8002007273865,0.2962668074943929,0.04417077777720986,1180167272.8751895,98708488.8788101,1.9643567912604443,0.4751895482503222,0.04836040317231939,0.00407886748439007,0.9729353514825662,0.059220704229453434,0.3999873
GLHer,60415.538937626174,8237.079921653178,86240.96245482362,15538.968779385334,7.928662520313873e-09,0.18461858934648312,4001763047.7544284,1102002515.1222074,2.989884050379106,0.6940383686238937,-0.0936585209190489,0.0421889778311477,1.6641537747722914,0.6841105995461704,2.344974
GVLeo,56017.46973400117,511.0673572593769,7532.054101983266,1327.8048605635552,0.09753647707333524,0.1767101641096532,515430204.66482025,83851961.52158259,4.705709850496011,0.4469926762419456,-0.013667410102293965,0.0031063897331094037,0.9402750262956217,0.12220942444884043,0.266728
IVCas,47539.68745300776,2018.7953290152495,21299.51559469179,2422.653902363537,0.0024711114462068525,0.30064715387219815,901972148.4778036,181227407.62538934,4.001690717925516,0.5822615689862567,0.019045120647110326,0.0038629673508694864,0.795608839982502,0.18808138252223733,0.9985167
LZLyr,34188.630944444456,1230.8475202078505,34392.70046028452,1271.57115708399,0.9333401119660615,0.19046079062349622,8975871999.999998,1431755831.442774,2.108958170710643,0.2330560462561533,0.19935697407908706,0.04721615132485637,27.964292813796234,7.5386740358705495,1.611229
OOAql,36095.07831575911,256.640594103585,28533.818300443316,173.3706309886258,0.266151607275683,0.02091201561258362,1008884096.0091008,9242317.503855884,4.224692814247655,0.054961769825881544,-0.03673486643054019,0.000383522638461451,0.7188270734418205,0.009003524584264734,0.506792
RSSer,61690.64814643272,7584.790144860187,45597.37242115372,2543.3506001352935,0.1477150722110245,0.08469324371260199,1502958049.862123,62071251.69011753,6.28318530630569,1.0573273577707043,-0.028635567869900815,0.001956556520667603,0.7987216867838361,0.058140274247078405,0.59814
RTLac,58058.63503408447,4862.620986762961,58207.76918449597,5408.389888117179,0.24482130698999782,0.09661413690634178,7236369143.422737,320436969.1344252,6.063930047289792,0.5956660733026969,-0.27641032716398634,0.003413281317198408,7.2520483957255735,1.4169876027226165,5.0739
RYAqr,36823.1794998233,913.3106636568101,98205.13835504711,10264.293653054301,0.5410954283392814,0.033701300900232246,5824309334.865765,289301619.4854418,3.458534905927291,0.12853837371322568,-0.1685939853741067,0.008496026376179102,2.575700590682252,0.11055050699714553,1.966578
RZAur,36329.145688679695,3843.624186517226,55919.60147087761,3079.996140046461,0.11056913262255481,0.10260097419327749,4575351676.100662,138587397.17399558,3.1885732819607764,0.4471343160789659,-0.16195122132427714,0.0015159953175462742,3.212558992994358,0.12828596302223702,3.01059
STPer,49893.94401880087,1484.1326760326938,15436.052791434911,284.690785654061,0.07568931828384715,0.05310105717786014,985783042.7734971,19620110.703274366,2.800346393548406,0.6138795813150142,-0.003560670989818946,0.0006077147208469589,1.1725504987226403,0.04326922057869905,2.648356
TLMi,30932.932192190045,1978.8958584178272,80209.8147802076,11065.781505871357,0.3224644817249279,0.14686953916709714,6106094141.201933,413663892.5225584,3.0252980686273823,0.18278910299169646,-0.028655197578079626,0.016372397200296387,3.4891165266226145,0.3037143992092322,3.019858
TWLac,59882.09244492996,1518.5211802592428,18992.070322275296,784.5480825694927,0.17549946424490687,0.046741570524299995,2147378515.4904916,69632607.40785113,5.335655488041718,0.36503671330106535,0.048600997108094256,0.00242316821523204,3.021060086269836,0.09330992959345252,3.037494
TZEri,54211.35372341369,1788.7365820881953,20386.676770303122,920.4884616707494,0.00026411194163027086,0.4330056268801204,1480291259.1372974,262846972.71514282,3.979438139529179,0.5739026780031524,0.026189463898136478,0.009356972596652382,1.587668223908969,0.376430603411848,2.606111
UULeo,37601.35052923199,2509.219744922956,69101.64430950562,7029.667918402671,0.41307257983551743,0.10633337259464835,3734277287.1502805,518119845.9342268,6.283185307179583,0.3455387572431883,0.11476884222227178,0.01223121952023991,1.8654463424269834,0.716236875140205,1.679768
UWCyg,27734.62372222222,2517.0376813491393,61875.87998825704,2784.8372655018434,0.26725599378030945,0.05761638193234874,2631729378.221453,44925702.98760555,5.782704903118574,0.2872865556502396,0.01592646800169042,0.0013140073009833143,1.2643218276727846,0.06668414665031118,3.45078
UXHer,16755.194388890188,264.8716331755033,40932.382782649525,375.80019748819626,0.2926253493730741,0.0592253266371634,1752214333.79597,40707063.25606268,2.8868789164298727,0.04330283297486857,0.06199560088660478,0.0007996173923797781,1.0626051083508117,0.034104171153559064,1.54886
V0346Cyg,40094.03767243876,6816.559582564151,45559.81171741996,5657.56558851967,0.07208430403049791,0.24896687194009667,2482115505.948046,687365131.2634983,6.282942098581851,1.1210391607276475,0.08725285645513171,0.009278944271603418,1.545092285788426,0.9198998608848449,2.74332
V0410Aur,56509.03320473189,330.09324188451757,11512.821500839636,831.9674707685831,0.34031713254301826,0.0654280444579392,1047319134.7424451,17222001.348500125,4.048224539939968,0.25199079092269505,-0.0016733100168058988,0.0006424077995942047,1.6688272702636118,0.1065923660734137,0.366355
V0482Per,54975.94209388951,187.58175945809083,6132.632507203356,96.27633452993966,0.6860545913820695,0.05147657118293958,606863316.7836434,72188979.27549903,6.283185307179585,0.19094637080241647,0.010835557228384633,0.0006150319928568339,1.3983106427289218,0.24493230544786226,2.446752
V0995Cyg,53365.78333741064,3914.720478362405,35775.31618905646,13737.99881410841,0.02979476385198994,0.2523242749373757,6958433536.295519,1222327286.825447,3.0487335047434576,0.9954670266255905,-0.07075073688819797,0.04449224379671749,13.758248264195855,3.9676896600765876,3.556346
V1042Her,46222.076748983774,6069.805321461215,70301.75371827163,8452.777529825082,0.7139274778082568,0.29708364689172956,2014349552.2638037,677142242.0758418,2.6763315188535186,0.9195784135897035,-0.06737976415801952,0.03952670989989717,0.8029069203452779,0.44164921710273125,0.51115
